GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1292361439,20260202,202602,2026,2026.0877,IGOEUREEC,EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,20,20,2,1,3.0,10,1,10,-1.60642570281124,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://peakoil.com/business/iran-war-could-reopen-eu-debate-over-russian-gas-norway-says
1292361443,20260202,202602,2026,2026.0877,IRN,IRAN,IRN,,,,,,,,MIL,MILITARY,,,,,,MIL,,,0,150,150,15,4,-7.2,10,1,10,-3.1924882629108,4,"Gulf Of Oman, Iran (general), Iran",IR,IR00,40979,25.4489,57.7939,-3077385,4,"Qeshm, Kordestan, Iran",IR,IR16,41068,35.4421,47.3506,-3080448,4,"Qeshm, Kordestan, Iran",IR,IR16,41068,35.4421,47.3506,-3080448,20260304154500,https://www.independent.co.uk/news/world/middle-east/iran-strait-of-hormuz-economy-attacks-b2931612.html
1292361444,20260202,202602,2026,2026.0877,ISR,ISRAEL,ISR,,,,,,,,ISRMED,ISRAEL,ISR,,,,,MED,,,0,13,13,1,1,0.4,2,1,2,-5.78905630452022,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260304154500,https://www.aljazeera.com/news/2026/3/4/why-are-the-us-and-israel-framing-the-ongoing-conflict-as-a-religious-war
1292361445,20260202,202602,2026,2026.0877,ISR,ISRAEL,ISR,,,,,,,,MED,COMMENTATOR,,,,,,MED,,,0,13,13,1,1,0.4,8,1,8,-5.78905630452022,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260304154500,https://www.aljazeera.com/news/2026/3/4/why-are-the-us-and-israel-framing-the-ongoing-conflict-as-a-religious-war
1292361448,20260225,202602,2026,2026.1507,MIL,DESTROYER,,,,,,MIL,,,CYP,CYPRUS,CYP,,,,,,,,0,74,74,7,2,8.5,2,1,2,-2.28509249183896,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,Cyprus,CY,CY,,35.0,33.0,CY,1,Cyprus,CY,CY,,35.0,33.0,CY,20260304154500,https://www.irishnews.com/news/uk/starmer-says-uk-us-relationship-does-not-mean-hanging-on-to-trumps-words-WWKSM5YMVBPPJHM4WCMYLWNWNM/
1292361476,20260304,202603,2026,2026.1753,,,,,,,,,,,DEU,MUNICH,DEU,,,,,,,,0,43,43,4,1,2.8,2,1,2,-2.49294449670743,0,,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260304154500,https://www.presstv.ir/Detail/2026/02/14/764052/the-munich-paradox-a-security-forums-embrace-of-war-advocates-under-the-guise-of-dialogue%20class=hover-effect
1292361479,20260304,202603,2026,2026.1753,,,,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,180,180,18,4,-9.0,3,1,3,-10.0,0,,,,,,,,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,1,Israel,IS,IS,,31.5,34.75,IS,20260304154500,https://www.islamicinvitationturkey.com/us-israeli-strikes-target-another-girls-school-in-iran/
1292361481,20260304,202603,2026,2026.1753,,,,,,,,,,,EGY,EGYPT,EGY,,,,,,,,1,173,173,17,4,-5.0,4,1,4,-5.67226890756306,0,,,,,,,,1,Egypt,EG,EG,,27.0,30.0,EG,1,Egypt,EG,EG,,27.0,30.0,EG,20260304154500,https://balkaninsight.com/2026/03/04/greek-final-court-decision-rules-that-golden-dawn-is-a-criminal-organisation/
1292361482,20260304,202603,2026,2026.1753,,,,,,,,,,,EGY,EGYPT,EGY,,,,,,,,1,190,190,19,4,-10.0,4,1,4,-5.67226890756306,0,,,,,,,,1,Egypt,EG,EG,,27.0,30.0,EG,1,Egypt,EG,EG,,27.0,30.0,EG,20260304154500,https://balkaninsight.com/2026/03/04/greek-final-court-decision-rules-that-golden-dawn-is-a-criminal-organisation/
1292361495,20260304,202603,2026,2026.1753,,,,,,,,,,,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,1,18,18,1,1,3.4,1,1,1,-4.05405405405405,0,,,,,,,,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,20260304154500,https://www.myjoyonline.com/un-deeply-disturbed-by-strike-on-iran-school-that-killed-160-children/
1292361501,20260304,202603,2026,2026.1753,,,,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,111,111,11,3,-2.0,10,5,10,-1.12913186883556,0,,,,,,,,4,"Makran, Mazandaran, Iran",IR,IR35,41093,36.7047,53.2279,-3073635,4,"Makran, Mazandaran, Iran",IR,IR35,41093,36.7047,53.2279,-3073635,20260304154500,https://www.thetimes-tribune.com/2026/03/04/sri-lanka-iran-warship-bodies/
1292361505,20260304,202603,2026,2026.1753,,,,,,,,,,,IRNEDU,IRAN,IRN,,,,,EDU,,,1,180,180,18,4,-9.0,2,1,2,-10.0,0,,,,,,,,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,1,Israel,IS,IS,,31.5,34.75,IS,20260304154500,https://www.islamicinvitationturkey.com/us-israeli-strikes-target-another-girls-school-in-iran/
1292361518,20260304,202603,2026,2026.1753,,,,,,,,,,,MOS,ISLAMIC,,,,MOS,,,,,0,190,190,19,4,-10.0,3,1,3,-4.28571428571429,0,,,,,,,,1,Israel,IS,IS,,31.5,34.75,IS,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260304154500,https://www.islamicinvitationturkey.com/araghchi-accuses-trump-of-diplomacy-breach-and-u-s-betrayal-with-iran-assault/
1292361524,20260304,202603,2026,2026.1753,,,,,,,,,,,PAK,PAKISTAN,PAK,,,,,,,,0,100,100,10,3,-5.0,1,1,1,-3.91404451266308,0,,,,,,,,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260304154500,https://www.foxla.com/news/iran-war-continues-march-4-2026
1292361529,20260304,202603,2026,2026.1753,,,,,,,,,,,QAT,DOHA,QAT,,,,,,,,0,36,36,3,1,4.0,6,1,6,-2.57648953301127,0,,,,,,,,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,4,"Doha, Ad Daw?ah, Qatar",QA,QA01,25307,25.2867,51.5333,-785169,20260304154500,https://www.upi.com/Top_News/World-News/2026/03/04/evacuate-americans-middle-east-war/9141772636040/
1292361530,20260304,202603,2026,2026.1753,,,,,,,,,,,QAT,QATAR,QAT,,,,,,,,1,130,130,13,3,-4.4,2,1,2,-3.69774919614147,0,,,,,,,,4,"Ras Laffan, Al Khawr, Qatar",QA,QA04,25307,25.9086,51.5783,-785460,4,"Ras Laffan, Al Khawr, Qatar",QA,QA04,25307,25.9086,51.5783,-785460,20260304154500,https://www.rigzone.com/news/qatarenergy_stops_lng_some_downstream_production-04-mar-2026-183124-article/
1292361531,20260304,202603,2026,2026.1753,,,,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,30,30,3,1,4.0,2,1,2,-2.59938837920489,0,,,,,,,,1,Russia,RS,RS,,60.0,100.0,RS,4,"Ankara, Ankara, Turkey",TU,TU68,27516,39.9272,32.8644,-735338,20260304154500,https://www.vol.at/ott-process-takacs-testifies-about-boat-accident/10027535
1292361543,20260304,202603,2026,2026.1753,,,,,,,,,,,USA,LOS ANGELES,USA,,,,,,,,1,42,42,4,1,1.9,10,1,10,5.4054054054054,0,,,,,,,,1,Jordan,JO,JO,,31.0,36.0,JO,1,Jordan,JO,JO,,31.0,36.0,JO,20260304154500,https://www.billboard.com/music/awards/sankofa-org-social-justice-awards-2026-honorees-chuck-d-1236191219/
