icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
4b1819,SWR115Y,Switzerland,51.3748,-0.8045,1501.14,120.87,294.38,False,2026-03-03 19:45:20
39de4c,TVF10BA,France,47.4127,1.9212,10668.0,215.71,201.55,False,2026-03-03 19:45:20
4952cd,TAP93ZS,Portugal,41.403,-1.3368,11269.98,217.46,222.03,False,2026-03-03 19:45:20
4952c1,TAP1243,Portugal,50.0844,9.6653,11574.78,230.26,261.78,False,2026-03-03 19:45:20
440daf,EJU92FC,Austria,43.7829,1.8178,10378.44,225.63,60.04,False,2026-03-03 19:45:20
4b180c,SWR388G,Switzerland,49.2948,8.8234,10241.28,228.46,188.68,False,2026-03-03 19:45:20
488252,SAH48P,Poland,48.6746,9.1413,541.02,65.51,74.98,False,2026-03-03 19:45:20
39de40,TVF48ZX,France,48.6738,2.1873,601.98,89.06,62.1,False,2026-03-03 19:45:20
40814a,AUR9LG,United Kingdom,50.8373,-0.9848,3665.22,137.94,220.46,False,2026-03-03 19:45:20
3d7f74,JMP901,Germany,49.5817,5.6094,3352.8,94.73,272.18,False,2026-03-03 19:45:20
3c666a,DLH3RY,Germany,50.8614,7.1536,,0.0,16.88,True,2026-03-03 19:45:20
511170,MBU8DT,Estonia,49.6086,5.6612,11887.2,230.16,56.95,False,2026-03-03 19:45:20
44029f,AUA217N,Austria,50.0488,8.5707,,2.83,329.06,True,2026-03-03 19:45:20
511194,MBU4WX,Estonia,47.1088,-2.0959,11582.4,221.69,47.16,False,2026-03-03 19:45:20
3455d7,VOE7349,Spain,45.0803,3.2577,11201.4,206.56,234.53,False,2026-03-03 19:45:20
3c65c3,DLH8H,Germany,50.0395,8.5162,,13.38,70.31,True,2026-03-03 19:45:20
3c5ee8,EWG7FB,Germany,50.7565,3.7043,11269.98,217.16,41.73,False,2026-03-03 19:45:20
3c5eeb,EWG7YR,Germany,48.689,9.2003,,0.64,163.12,True,2026-03-03 19:45:20
3c65d8,DLH44K,Germany,50.051,8.5555,106.68,65.93,249.44,False,2026-03-03 19:45:20
3c65cc,DLH95E,Germany,44.2841,2.7502,11574.78,233.01,56.8,False,2026-03-03 19:45:20
3c5ef2,EWG16T,Germany,51.0256,8.5038,7528.56,206.03,303.49,False,2026-03-03 19:45:20
3d6066,DFITI,Germany,51.2604,6.4444,297.18,93.28,308.96,False,2026-03-03 19:45:20
46b822,AEE25,Greece,48.6867,9.1999,,0.0,163.12,True,2026-03-03 19:45:20
440224,EJU53MP,Austria,51.451,1.4728,4671.06,157.16,254.23,False,2026-03-03 19:45:20
4aca9a,NOZ23Y,Sweden,51.1214,-4.1153,10972.8,242.89,20.58,False,2026-03-03 19:45:20
3b7b9a,DRAGOQ1,France,43.9603,4.4533,281.94,46.23,214.57,False,2026-03-03 19:45:20
4aca85,NSZ2885,Sweden,49.4524,2.289,10972.8,219.34,32.65,False,2026-03-03 19:45:20
4aca95,NSZ2877,Sweden,48.6618,0.8045,11582.4,230.75,39.12,False,2026-03-03 19:45:20
3d1e62,DEJTI,Germany,49.5935,8.302,335.28,33.6,64.61,False,2026-03-03 19:45:20
344487,AEA29KU,Spain,42.6313,-3.4629,8534.4,217.09,218.55,False,2026-03-03 19:45:20
3c65da,DLH4H,Germany,51.3224,0.8711,7490.46,217.49,104.66,False,2026-03-03 19:45:20
4400eb,EJU579N,Austria,46.0072,5.1714,10370.82,218.71,331.33,False,2026-03-03 19:45:20
3c6743,DLH9MT,Germany,49.6513,9.1624,5143.5,182.65,133.86,False,2026-03-03 19:45:20
3c6747,DLH3YE,Germany,50.1102,8.8054,1127.76,106.76,249.99,False,2026-03-03 19:45:20
471f64,WMT226,Hungary,42.1868,5.0378,10355.58,238.65,49.55,False,2026-03-03 19:45:20
3c6752,DLH55M,Germany,47.4126,8.3464,11582.4,224.87,28.27,False,2026-03-03 19:45:20
3c6751,DLH89T,Germany,47.0762,8.2205,11582.4,229.47,61.77,False,2026-03-03 19:45:20
4400e3,EJU35CN,Austria,45.0473,9.2226,2042.16,124.02,64.18,False,2026-03-03 19:45:20
4400dc,EJU86DW,Austria,42.3097,-5.2577,11132.82,216.01,29.07,False,2026-03-03 19:45:20
40803c,EXS14UG,United Kingdom,48.7006,-4.4643,10972.8,224.67,24.63,False,2026-03-03 19:45:20
440cbf,EJU13ZY,Austria,47.4987,6.4376,4396.74,170.54,58.95,False,2026-03-03 19:45:20
440cc1,EJU78AT,Austria,45.7663,5.6639,5448.3,167.89,29.16,False,2026-03-03 19:45:20
344409,VLG5SV,Spain,44.661,6.5757,10347.96,221.99,13.26,False,2026-03-03 19:45:20
40808c,VIR354,United Kingdom,50.1761,8.132,10668.0,247.12,108.7,False,2026-03-03 19:45:20
4951cd,TAP5AS,Portugal,45.3681,-3.6751,10668.0,236.21,226.85,False,2026-03-03 19:45:20
3c6589,DLH137,Germany,49.7102,9.3549,3665.22,169.53,342.33,False,2026-03-03 19:45:20
39d339,OYO13,France,46.5366,5.0925,9121.14,133.44,19.83,False,2026-03-03 19:45:20
3c6584,DLH79P,Germany,49.8775,9.1656,2948.94,158.8,340.51,False,2026-03-03 19:45:20
3c6588,DLH087,Germany,50.0403,8.5589,,3.09,70.31,True,2026-03-03 19:45:20
348085,AEA51KH,Spain,44.4567,-3.9489,11887.2,235.7,192.09,False,2026-03-03 19:45:20
3c658d,DLH3HJ,Germany,50.039,8.5611,,18.52,255.94,True,2026-03-03 19:45:20
02a1a4,LBT543,Tunisia,47.8112,3.1932,8031.48,218.87,156.45,False,2026-03-03 19:45:20
408227,SHT19B,United Kingdom,51.4772,-0.5575,190.5,57.1,90.0,False,2026-03-03 19:45:20
39d319,TVF79CR,France,44.4307,4.3839,9288.78,211.5,13.36,False,2026-03-03 19:45:20
39d30c,TVF40KD,France,45.4519,0.1524,11887.2,223.74,210.69,False,2026-03-03 19:45:20
3c7878,CFG7KE,Germany,43.6161,1.2749,11582.4,233.35,53.16,False,2026-03-03 19:45:20
3c786b,CFG1DL,Germany,48.6097,8.8892,1524.0,113.89,27.14,False,2026-03-03 19:45:20
407b8e,SHT17N,United Kingdom,51.4774,-0.4914,-53.34,62.76,90.0,False,2026-03-03 19:45:20
4b5da8,ATL778,Switzerland,47.447,8.5655,,0.0,123.75,True,2026-03-03 19:45:20
3430cc,VLG80ZD,Spain,41.347,2.6639,4762.5,180.07,74.93,False,2026-03-03 19:45:20
3c7889,NGN900P,Germany,49.9344,9.4615,11750.04,235.21,137.48,False,2026-03-03 19:45:20
3c4b45,EWG2P,Germany,48.0706,8.5203,4130.04,128.71,182.29,False,2026-03-03 19:45:20
3c654d,LHX9FE,Germany,49.8828,9.8395,9761.22,236.87,319.67,False,2026-03-03 19:45:20
3c654a,LHX02A,Germany,43.5837,7.4305,11582.4,238.41,42.99,False,2026-03-03 19:45:20
3c6551,LHX1HH,Germany,49.9115,2.8344,11567.16,211.64,292.89,False,2026-03-03 19:45:20
39e682,AFR48LF,France,48.3457,1.2718,4366.26,155.24,34.06,False,2026-03-03 19:45:20
39e684,AFR1549,France,48.9813,2.3531,845.82,88.31,84.99,False,2026-03-03 19:45:20
3c654e,LHX947,Germany,51.4477,6.577,10523.22,209.59,116.38,False,2026-03-03 19:45:20
39e680,AFR32ZY,France,48.9749,2.2385,1363.98,94.19,83.73,False,2026-03-03 19:45:20
3c6565,OCN154,Germany,49.9399,8.6165,784.86,108.93,99.24,False,2026-03-03 19:45:20
39e697,AFR36SP,France,48.9159,2.4517,3436.62,155.38,265.25,False,2026-03-03 19:45:20
0a004a,DAH1230,Algeria,42.701,4.6473,10972.8,243.19,3.15,False,2026-03-03 19:45:20
3443d1,VLG8307,Spain,48.7223,2.7431,10668.0,236.6,193.07,False,2026-03-03 19:45:20
3443d2,VLG7843,Spain,41.5164,1.6774,3657.6,138.21,209.43,False,2026-03-03 19:45:20
3443d3,VLG60KA,Spain,41.2991,2.0844,,45.27,64.69,True,2026-03-03 19:45:20
3c64a4,DLH9CF,Germany,50.0782,8.6698,571.5,89.97,250.63,False,2026-03-03 19:45:20
0a0049,DAH1063,Algeria,43.6577,0.8603,11277.6,226.0,193.02,False,2026-03-03 19:45:20
3c64ad,DLH64M,Germany,50.0377,9.1974,1661.16,142.41,310.02,False,2026-03-03 19:45:20
4080ea,BAW425,United Kingdom,49.1744,-1.8668,11582.4,229.34,12.04,False,2026-03-03 19:45:20
02a1ab,LBT185,Tunisia,43.6813,7.3601,11879.58,221.23,166.42,False,2026-03-03 19:45:20
440352,EJU576K,Austria,48.9917,2.5432,106.68,69.68,85.34,False,2026-03-03 19:45:20
471fa1,WZZ1FT,Hungary,41.5387,-2.0375,8930.64,222.1,47.44,False,2026-03-03 19:45:20
0a0075,DAH1008,Algeria,44.7639,4.6636,11582.4,235.3,357.62,False,2026-03-03 19:45:20
3cc7fe,DWW605,Germany,50.3307,9.1256,12192.0,226.21,187.45,False,2026-03-03 19:45:20
8015cd,AIC2029,India,50.1029,8.8514,1104.9,94.72,249.99,False,2026-03-03 19:45:20
4b28a6,HBPKG,Switzerland,46.9245,7.4597,777.24,42.22,313.03,False,2026-03-03 19:45:20
44d9b6,FYG82M,Belgium,41.6696,1.1828,13106.4,222.98,281.98,False,2026-03-03 19:45:20
39e4ac,AFR98ZZ,France,50.8686,4.1641,8846.82,221.27,195.23,False,2026-03-03 19:45:20
4080db,BAW721,United Kingdom,48.3385,4.8187,11582.4,226.85,301.74,False,2026-03-03 19:45:20
4080e0,BAW597C,United Kingdom,51.4768,-0.6466,525.78,78.2,89.62,False,2026-03-03 19:45:20
4080cb,NJU723Y,United Kingdom,47.703,5.9996,10363.2,237.02,302.86,False,2026-03-03 19:45:20
4a08ec,ROT374W,Romania,50.7899,4.698,2964.18,144.67,106.95,False,2026-03-03 19:45:20
4b15d8,EDW86,Switzerland,47.475,8.5364,,0.0,154.69,True,2026-03-03 19:45:20
4401d1,EJU507D,Austria,44.5905,1.2867,8397.24,195.16,94.84,False,2026-03-03 19:45:20
3c6634,DLH981,Germany,50.5988,8.3127,4030.98,155.52,130.17,False,2026-03-03 19:45:20
344557,VLG6WU,Spain,47.5573,1.1284,7368.54,212.24,23.27,False,2026-03-03 19:45:20
4b15ee,EDW131G,Switzerland,47.676,9.3435,5090.16,166.0,230.79,False,2026-03-03 19:45:20
3c6643,DLH1301,Germany,50.0382,8.5084,,8.23,182.81,True,2026-03-03 19:45:20
4401dc,EJU42KH,Austria,44.8174,3.6847,11582.4,230.75,60.92,False,2026-03-03 19:45:20
408170,AUR58H,United Kingdom,50.6509,-1.6539,3345.18,146.84,34.58,False,2026-03-03 19:45:20
3c7982,CFG069,Germany,51.2859,6.7699,,13.38,233.44,True,2026-03-03 19:45:20
4401f7,EJU754C,Austria,45.3373,4.1019,11262.36,228.73,142.77,False,2026-03-03 19:45:20
39d306,TVF4058,France,51.1588,3.6146,6812.28,209.23,19.24,False,2026-03-03 19:45:20
44b436,OOMAV,Belgium,51.1893,4.4661,-99.06,23.43,289.23,False,2026-03-03 19:45:20
4bb563,CXI6812,Turkey,50.8917,8.8244,8168.64,210.46,303.53,False,2026-03-03 19:45:20
452087,UBD437,Bulgaria,51.2635,6.7182,114.3,64.31,53.13,False,2026-03-03 19:45:20
4b5d9f,ALT777,Switzerland,47.4615,8.5547,,0.0,194.06,True,2026-03-03 19:45:20
440096,EJU93RJ,Austria,48.3203,6.2951,10965.18,214.47,6.75,False,2026-03-03 19:45:20
