icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
151dfc,SDM6574,Russian Federation,61.9996,47.2306,10972.8,204.52,261.32,False,2026-03-11 17:13:56
151df8,SDM6793,Russian Federation,54.1622,87.8278,10363.2,209.46,238.46,False,2026-03-11 17:13:56
151e72,RWZ3078,Russian Federation,52.9036,45.1217,10972.8,27.5,82.48,False,2026-03-11 17:13:56
151e09,PBD6547,Russian Federation,56.7244,86.9653,10972.8,212.51,289.66,False,2026-03-11 17:13:56
151d76,AZV2947,Russian Federation,52.9039,87.8422,10058.4,247.29,125.77,False,2026-03-11 17:13:56
781416,CSH870,China,55.5404,88.9989,11277.6,27.28,182.16,False,2026-03-11 17:13:56
781737,CSN348,China,55.3629,87.2928,11277.6,271.02,122.36,False,2026-03-11 17:13:56
7802fd,CSS111,China,54.7887,88.8027,9745.98,218.82,305.33,False,2026-03-11 17:13:56
7817fb,DKH1662,China,55.5349,88.9928,11285.22,27.68,228.01,False,2026-03-11 17:13:56
151ec8,SBI5260,Russian Federation,56.3495,84.9168,10972.8,207.75,257.99,False,2026-03-11 17:13:56
789232,CPA811,China,52.5137,104.7831,11887.2,257.02,139.87,False,2026-03-11 17:13:56
155bf1,LLM855,Russian Federation,65.2673,58.8138,10972.8,211.85,250.42,False,2026-03-11 17:13:56
