icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
80162c,AXB2549,India,13.2084,77.5324,1714.5,87.97,90.34,False,2026-03-11 17:39:30
801638,AXB1042,India,26.7641,84.0524,11582.4,198.39,283.5,False,2026-03-11 17:39:30
80162e,,India,28.5447,77.1059,,2.31,120.94,True,2026-03-11 17:39:30
880456,AIQ170,Thailand,11.7254,79.4482,10972.8,232.36,256.95,False,2026-03-11 17:39:30
801657,AIC1830,India,25.7509,77.23,10972.8,215.67,358.09,False,2026-03-11 17:39:30
801623,AXB1240,India,12.1716,77.6127,6979.92,219.87,194.91,False,2026-03-11 17:39:30
80160f,IGO681,India,25.5166,75.2903,10363.2,227.72,200.36,False,2026-03-11 17:39:30
80161d,AKJ2004,India,18.9865,73.08,45.72,78.36,262.46,False,2026-03-11 17:39:30
80161e,AKJ1804,India,28.5699,77.1148,259.08,75.64,271.17,False,2026-03-11 17:39:30
80167d,AXB398,India,12.6473,75.3694,9624.06,240.67,159.09,False,2026-03-11 17:39:30
80167e,AIC1724,India,10.1537,76.468,320.04,67.44,267.81,False,2026-03-11 17:39:30
80167b,AIC2827,India,14.5829,77.7531,10668.0,239.0,123.14,False,2026-03-11 17:39:30
80167c,AXB2430,India,17.2022,81.9372,11582.4,217.48,237.36,False,2026-03-11 17:39:30
801697,AXB1264,India,27.9368,75.7221,8061.96,208.49,46.3,False,2026-03-11 17:39:30
801694,O9321,India,8.5293,76.941,11277.6,241.44,38.16,False,2026-03-11 17:39:30
80164f,AIC2818,India,25.5861,77.2359,11582.4,218.24,358.11,False,2026-03-11 17:39:30
80164c,IGO6399,India,28.5661,77.1134,,5.4,194.06,True,2026-03-11 17:39:30
47b217,NBT091,Norway,21.7621,88.2247,11879.58,274.56,132.42,False,2026-03-11 17:39:30
80165a,AIC488,India,28.5596,77.089,,0.0,278.44,True,2026-03-11 17:39:30
800db0,AIC1865,India,27.5423,77.3684,4457.7,163.88,347.49,False,2026-03-11 17:39:30
800db5,AXB2985,India,8.4547,76.9466,160.02,75.3,315.28,False,2026-03-11 17:39:30
8014da,AIC2940,India,28.4976,76.676,3962.4,163.81,63.52,False,2026-03-11 17:39:30
8014de,IGO705Y,India,19.4561,74.7517,10675.62,239.6,21.28,False,2026-03-11 17:39:30
8014f7,IGO1701,India,27.9491,78.0454,7520.94,236.21,114.44,False,2026-03-11 17:39:30
8014ed,AIC2708,India,24.7267,84.0511,10988.04,200.24,307.69,False,2026-03-11 17:39:30
8014c1,IGO6041,India,24.1543,86.3582,10668.0,251.93,147.93,False,2026-03-11 17:39:30
8014d6,IGO1641,India,22.4398,88.5305,2346.96,152.87,157.23,False,2026-03-11 17:39:30
801606,AXB1163,India,18.5538,72.8199,4488.18,191.15,161.81,False,2026-03-11 17:39:30
801608,IGO524H,India,12.9808,77.8472,3962.4,188.74,195.82,False,2026-03-11 17:39:30
80174a,IGO1014,India,25.3873,81.532,10988.04,199.41,337.07,False,2026-03-11 17:39:30
80174d,IGO738,India,13.1964,77.4256,2026.92,99.6,70.07,False,2026-03-11 17:39:30
80175a,IGO604M,India,19.4612,72.7438,4434.84,189.23,8.28,False,2026-03-11 17:39:30
801768,IGO76JM,India,28.5688,77.0964,,8.75,90.0,True,2026-03-11 17:39:30
800441,AIC2656,India,17.4248,72.6334,9768.84,233.83,331.91,False,2026-03-11 17:39:30
801744,IGO1081,India,28.5631,77.0823,,5.4,312.19,True,2026-03-11 17:39:30
801742,IGO38VT,India,20.1482,73.2291,5646.42,152.28,197.7,False,2026-03-11 17:39:30
80173c,IGO625W,India,20.4468,73.8435,9639.3,248.08,178.22,False,2026-03-11 17:39:30
801749,IGO499,India,13.6604,77.7326,4244.34,210.94,217.57,False,2026-03-11 17:39:30
801754,IGO7216,India,22.4091,85.3598,6400.8,133.28,78.65,False,2026-03-11 17:39:30
80173e,IGO6773,India,19.4204,73.0899,3657.6,145.83,212.91,False,2026-03-11 17:39:30
50038c,SMF603,San Marino,30.7637,76.5303,10972.8,209.88,291.72,False,2026-03-11 17:39:30
801785,AKJ1564,India,14.0852,78.1507,7856.22,217.0,205.41,False,2026-03-11 17:39:30
801782,VTROQ,India,10.2949,76.2868,2240.28,110.68,92.13,False,2026-03-11 17:39:30
80177d,IGO703J,India,28.2979,76.2232,5654.04,198.32,63.17,False,2026-03-11 17:39:30
801793,IGO281F,India,26.2888,76.849,11277.6,240.44,177.67,False,2026-03-11 17:39:30
801799,AXB1196,India,27.7095,79.63,9753.6,198.9,303.61,False,2026-03-11 17:39:30
801798,IGO6341,India,28.0908,76.8358,6012.18,204.47,182.74,False,2026-03-11 17:39:30
801792,IGO5094,India,18.5966,73.1899,3962.4,147.06,341.44,False,2026-03-11 17:39:30
8016a1,AKJ639F,India,17.5347,73.7793,10668.0,244.33,153.22,False,2026-03-11 17:39:30
8016a6,AIC1714,India,26.2733,81.9175,10652.76,260.71,117.63,False,2026-03-11 17:39:30
8016a4,IGO660,India,18.1741,72.9489,7993.38,227.92,161.85,False,2026-03-11 17:39:30
8015c5,AIC2665,India,27.4959,77.4604,6347.46,188.62,336.02,False,2026-03-11 17:39:30
8015d3,IGO636C,India,20.3385,75.0781,10668.0,240.76,22.62,False,2026-03-11 17:39:30
8015ce,IGO597,India,10.7745,77.4588,7033.26,206.37,243.5,False,2026-03-11 17:39:30
8015fc,IGO5192,India,28.3821,76.4123,4122.42,167.26,63.51,False,2026-03-11 17:39:30
885305,THA343,Thailand,19.5737,83.8093,10972.8,206.47,290.87,False,2026-03-11 17:39:30
801725,IGO214L,India,21.9309,83.9661,9753.6,206.84,259.25,False,2026-03-11 17:39:30
702034,BBC374,Bangladesh,26.2022,87.4179,10668.0,249.26,151.8,False,2026-03-11 17:39:30
4bb562,IGO839E,Turkey,27.0813,77.4892,7452.36,192.83,5.66,False,2026-03-11 17:39:30
80184b,IGO6367,India,25.9848,87.1103,10965.18,214.53,276.89,False,2026-03-11 17:39:30
80184e,IGO146H,India,19.0931,72.8589,,0.64,205.31,True,2026-03-11 17:39:30
80185f,IGO440W,India,17.5802,75.5547,10668.0,242.55,152.18,False,2026-03-11 17:39:30
80057d,AIC238,India,25.9383,84.3888,10363.2,204.81,293.54,False,2026-03-11 17:39:30
ac3421,N886AB,United States,33.1939,82.8032,,5.66,177.19,True,2026-03-11 17:39:30
80058a,AIC699,India,19.0903,72.9727,518.16,78.2,269.25,False,2026-03-11 17:39:30
8016e0,IGO6791,India,28.5678,77.2089,716.28,68.97,271.71,False,2026-03-11 17:39:30
8016e1,IGO6549,India,26.0088,83.7449,8869.68,258.02,108.72,False,2026-03-11 17:39:30
8016dd,IGO89HL,India,18.9953,73.4022,5638.8,201.18,349.09,False,2026-03-11 17:39:30
8016d2,IGO503V,India,19.5361,75.612,10668.0,247.04,143.3,False,2026-03-11 17:39:30
8016ca,AXB1220,India,27.015,76.0882,10477.5,224.55,203.92,False,2026-03-11 17:39:30
8003a8,VTHGL,India,22.9259,86.1627,10058.4,241.06,77.8,False,2026-03-11 17:39:30
801800,IGO496Y,India,17.9738,73.6388,7513.32,193.97,307.78,False,2026-03-11 17:39:30
801806,IGO5291,India,18.8916,72.7406,3208.02,160.54,178.9,False,2026-03-11 17:39:30
801851,IGO477,India,25.8662,76.8673,10675.62,245.07,177.71,False,2026-03-11 17:39:30
80180b,IGO6722,India,27.1832,79.9339,10058.4,255.38,116.05,False,2026-03-11 17:39:30
801824,IGO476,India,22.1064,85.6687,10363.2,212.12,256.54,False,2026-03-11 17:39:30
8018a8,IGO5062,India,19.078,72.7137,1363.98,148.27,230.07,False,2026-03-11 17:39:30
7020b4,UBG321,Bangladesh,22.7287,87.642,10972.8,199.57,273.99,False,2026-03-11 17:39:30
89621a,UAE547,United Arab Emirates,13.2207,79.216,7010.4,225.09,284.29,False,2026-03-11 17:39:30
8017f3,IGO1327,India,17.6307,74.1018,9898.38,191.08,307.67,False,2026-03-11 17:39:30
8017ee,IGO395,India,25.8578,75.5254,10363.2,222.05,203.77,False,2026-03-11 17:39:30
a4b0e0,N401FL,United States,33.1951,82.8058,,0.0,0.0,True,2026-03-11 17:39:30
70c125,,Oman,19.3552,84.4568,10660.38,277.92,107.23,False,2026-03-11 17:39:30
780a64,CPA679,China,24.3363,89.126,10972.8,225.54,282.51,False,2026-03-11 17:39:30
