icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
86d5b6,ANA106,Japan,34.4729,144.5111,11887.2,314.52,96.86,False,2026-03-11 17:43:50
86ced2,ANA814,Japan,21.9238,117.3107,11887.2,290.53,68.93,False,2026-03-11 17:43:50
78203b,CDG2168,China,25.008,118.3549,3947.16,168.29,215.29,False,2026-03-11 17:43:50
758302,PAL423,Philippines,35.5372,139.788,,8.75,140.62,True,2026-03-11 17:43:50
7809fd,CSN3210,China,22.8816,114.0683,2164.08,146.09,278.3,False,2026-03-11 17:43:50
c02eb9,ACA19,Canada,33.9623,130.4317,11574.78,214.02,236.27,False,2026-03-11 17:43:50
86d8cc,SJO410,Japan,39.8183,141.199,10972.8,226.33,192.2,False,2026-03-11 17:43:50
a97639,CKS931,United States,37.2677,126.5918,1234.44,117.46,324.99,False,2026-03-11 17:43:50
758584,APG128,Philippines,25.0471,121.1832,205.74,68.58,49.26,False,2026-03-11 17:43:50
781b8b,,China,22.9672,113.1066,10393.68,200.65,220.63,False,2026-03-11 17:43:50
7584be,RYL287,Philippines,21.1565,115.5234,10058.4,255.3,119.72,False,2026-03-11 17:43:50
151d88,AFL856,Russian Federation,21.7319,113.7219,11003.28,193.2,247.12,False,2026-03-11 17:43:50
782367,CSN6492,China,41.6054,115.5259,10706.1,213.36,73.18,False,2026-03-11 17:43:50
781011,,China,35.5477,139.7653,,0.0,149.06,True,2026-03-11 17:43:50
78100a,CCA783,China,39.8281,117.1169,5250.18,230.86,172.57,False,2026-03-11 17:43:50
a95ca4,GTI8609,United States,36.3578,135.1919,9448.8,273.2,61.79,False,2026-03-11 17:43:50
abda7d,FDX5090,United States,33.9557,132.3012,9144.0,225.16,251.07,False,2026-03-11 17:43:50
a51e24,GTI8364,United States,33.0654,125.9367,11582.4,225.74,213.0,False,2026-03-11 17:43:50
780a5c,CPA255,China,22.1673,114.2831,3657.6,170.25,51.5,False,2026-03-11 17:43:50
780a9c,CPA883,China,34.2867,133.5287,10363.2,205.28,253.7,False,2026-03-11 17:43:50
84bbdf,APJ808,Japan,35.5426,139.772,,0.26,239.06,True,2026-03-11 17:43:50
780a28,CPA3290,China,23.2273,119.4831,9448.8,308.47,49.8,False,2026-03-11 17:43:50
780a3c,CPA880,China,22.303,113.9133,,7.72,250.31,True,2026-03-11 17:43:50
84ceef,JJP11,Japan,25.423,121.7126,4953.0,172.84,239.01,False,2026-03-11 17:43:50
a80a8f,UPS72,United States,24.4773,122.0334,12192.0,228.56,182.06,False,2026-03-11 17:43:50
7810af,CSS325,China,22.0223,113.5399,3657.6,185.46,161.06,False,2026-03-11 17:43:50
896455,UAE313,United Arab Emirates,33.7645,131.2085,9144.0,229.65,248.03,False,2026-03-11 17:43:50
780b20,CSZ305,China,21.9003,112.4275,8420.1,201.34,276.31,False,2026-03-11 17:43:50
781e5b,CTJ3867,China,34.0139,133.6234,5288.28,214.41,74.7,False,2026-03-11 17:43:50
872fc2,ANA849,Japan,32.4832,132.4215,11582.4,201.66,237.61,False,2026-03-11 17:43:50
7587ca,PAL117,Philippines,33.1363,138.5386,10972.8,189.21,223.68,False,2026-03-11 17:43:50
3965b3,AFR111,France,41.4091,116.3915,9174.48,211.83,329.01,False,2026-03-11 17:43:50
846333,NCA203,Japan,25.3044,121.683,12192.0,195.81,228.94,False,2026-03-11 17:43:50
888194,HVN440,Viet Nam,21.4195,118.0202,10058.4,282.07,49.51,False,2026-03-11 17:43:50
780aa2,CPA749,China,22.3156,113.9302,,5.4,250.31,True,2026-03-11 17:43:50
780aa0,HKE717,China,21.7962,114.0539,2727.96,176.79,320.19,False,2026-03-11 17:43:50
485343,KLM808,Kingdom of the Netherlands,25.1879,121.2994,1066.8,132.53,339.31,False,2026-03-11 17:43:50
885962,TVJ3537,Thailand,22.774,114.6572,9784.08,206.96,263.86,False,2026-03-11 17:43:50
781303,CGH1116,China,21.9889,112.6477,7802.88,209.2,246.52,False,2026-03-11 17:43:50
781f65,CSS7119,China,40.1151,115.9558,5989.32,225.03,205.74,False,2026-03-11 17:43:50
781f83,HLF8871,China,37.1353,126.5153,9448.8,240.87,88.29,False,2026-03-11 17:43:50
76cc81,SIA801,Singapore,40.2244,116.3891,2705.1,145.28,237.44,False,2026-03-11 17:43:50
