icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
86ced2,ANA814,Japan,21.9603,117.4128,11879.58,291.01,68.97,False,2026-03-11 17:44:29
78203b,CDG2168,China,25.008,118.3549,3947.16,168.29,215.29,False,2026-03-11 17:44:29
758584,APG128,Philippines,25.0471,121.1832,205.74,68.58,49.26,False,2026-03-11 17:44:29
7584be,RYL287,Philippines,21.1326,115.568,10050.78,255.3,119.72,False,2026-03-11 17:44:29
780a28,CPA3290,China,23.2741,119.5431,9448.8,308.47,49.8,False,2026-03-11 17:44:29
84ceef,JJP11,Japan,25.392,121.6556,4754.88,168.42,239.13,False,2026-03-11 17:44:29
a80a8f,UPS72,United States,24.4416,122.032,12192.0,228.54,181.93,False,2026-03-11 17:44:29
846333,NCA203,Japan,25.2585,121.6252,12192.0,196.14,228.83,False,2026-03-11 17:44:29
888194,HVN440,Viet Nam,21.4844,118.1009,10050.78,282.74,49.35,False,2026-03-11 17:44:29
485343,KLM808,Kingdom of the Netherlands,25.1901,121.2414,1516.38,152.86,241.45,False,2026-03-11 17:44:29
84b42f,APJ723,Japan,25.0428,121.0092,1165.86,109.13,225.38,False,2026-03-11 17:44:29
7501fa,XAX379,Malaysia,24.7072,120.4909,6111.24,202.55,215.39,False,2026-03-11 17:44:29
8880dc,VJC976,Viet Nam,22.077,119.2231,10050.78,274.66,33.93,False,2026-03-11 17:44:29
76cd47,SIA38,Singapore,21.2747,122.7412,10972.8,291.65,33.27,False,2026-03-11 17:44:29
899080,EVA087,Taiwan,22.0575,118.2514,9144.0,221.19,218.39,False,2026-03-11 17:44:29
89901e,CAL032,Taiwan,25.3576,121.8833,4610.1,211.49,77.92,False,2026-03-11 17:44:29
750403,MXD822,Malaysia,22.3707,121.2701,10668.0,267.64,19.31,False,2026-03-11 17:44:29
71c003,KAL677,Republic of Korea,22.7027,121.4926,11582.4,201.47,204.27,False,2026-03-11 17:44:29
899160,CAL061,Taiwan,21.1589,116.8787,9753.6,225.36,269.08,False,2026-03-11 17:44:29
89913f,EVA071,Taiwan,22.0594,118.1868,9745.98,219.18,215.93,False,2026-03-11 17:44:29
71c063,JJA2217,Republic of Korea,21.0094,116.829,10363.2,194.18,243.91,False,2026-03-11 17:44:29
71c025,KAL647,Republic of Korea,24.1443,121.9607,11582.4,210.95,196.58,False,2026-03-11 17:44:29
899125,CAL063,Taiwan,21.4272,117.6499,10363.2,221.42,208.29,False,2026-03-11 17:44:29
899136,EVA095,Taiwan,21.1495,116.2884,10355.58,222.79,268.94,False,2026-03-11 17:44:29
76bd42,TGW875,Singapore,23.3991,120.3068,11369.04,221.16,189.51,False,2026-03-11 17:44:29
76bd49,TGW893,Singapore,20.8589,119.7277,12192.0,210.99,225.4,False,2026-03-11 17:44:29
8990c0,SJX012,Taiwan,25.3698,121.9497,4526.28,208.65,78.19,False,2026-03-11 17:44:29
71c255,ASV511,Republic of Korea,25.4852,122.3394,9745.98,193.64,194.15,False,2026-03-11 17:44:29
71c282,AAR747,Republic of Korea,21.7284,119.9354,11582.4,197.77,256.61,False,2026-03-11 17:44:29
861b03,ANA8507,Japan,21.8297,120.3934,10972.8,198.16,256.79,False,2026-03-11 17:44:29
88628e,TAX607,Thailand,21.0771,116.9766,11582.4,205.69,243.88,False,2026-03-11 17:44:29
71c578,ESR781,Republic of Korea,25.8843,122.0642,7528.56,195.64,214.61,False,2026-03-11 17:44:29
789251,AHK783,China,22.2763,115.1283,4899.66,196.32,254.65,False,2026-03-11 17:44:29
71c561,TWB644,Republic of Korea,21.8514,115.2745,8930.64,256.39,85.74,False,2026-03-11 17:44:29
789296,HKE624,China,22.4559,118.2361,10668.0,287.5,52.27,False,2026-03-11 17:44:29
78929b,CRK080,China,24.7305,121.4604,10058.4,302.58,51.77,False,2026-03-11 17:44:29
71bf20,KAL2093,Republic of Korea,20.8933,116.5766,11582.4,205.22,243.82,False,2026-03-11 17:44:29
