icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
8960f1,UAE71J,United Arab Emirates,23.5795,55.3384,10195.56,290.02,43.49,False,2026-03-11 17:44:40
89620e,UAE2W,United Arab Emirates,23.3091,49.3653,10668.0,309.22,98.8,False,2026-03-11 17:44:40
70c107,OMA2408,Oman,23.1712,49.2447,12496.8,281.75,104.59,False,2026-03-11 17:44:40
896366,ABY842,United Arab Emirates,25.6853,56.1047,8702.04,0.0,0.0,False,2026-03-11 17:44:40
8963f0,UAE6AQ,United Arab Emirates,25.2296,55.3906,53.34,76.4,301.23,False,2026-03-11 17:44:40
8963b1,FDB143,United Arab Emirates,24.4896,52.5255,9753.6,50.93,336.8,False,2026-03-11 17:44:40
896504,ABY330,United Arab Emirates,26.0957,53.57,10363.2,0.0,0.0,False,2026-03-11 17:44:40
68332b,VSV5300,Kazakhstan,23.2581,49.4541,10668.0,288.46,106.37,False,2026-03-11 17:44:40
896461,ETD81C,United Arab Emirates,23.1221,53.7489,11551.92,293.28,74.74,False,2026-03-11 17:44:40
740823,RJA614,Jordan,23.3286,49.574,12496.8,301.86,92.93,False,2026-03-11 17:44:40
010261,RMX7702,Egypt,24.4679,52.5363,10363.2,110.0,332.12,False,2026-03-11 17:44:40
3b7569,FAF4072,France,24.4895,52.5222,9738.36,95.95,193.96,False,2026-03-11 17:44:40
800c88,AIC2245,India,24.4674,52.5335,9136.38,56.0,110.43,False,2026-03-11 17:44:40
710053,SVA810,Saudi Arabia,23.4011,49.4196,10058.4,291.89,107.54,False,2026-03-11 17:44:40
710149,,Saudi Arabia,26.4593,49.1749,6377.94,199.41,276.67,False,2026-03-11 17:44:40
3c66c2,DLH766,Germany,23.2848,49.2319,11277.6,309.86,106.0,False,2026-03-11 17:44:40
3c66c1,DLH764,Germany,23.1555,49.0127,11887.2,304.95,103.66,False,2026-03-11 17:44:40
