region_code,total_aircraft,in_flight,on_ground,altitude_mean,velocity_mean,unique_countries,timestamp
NA,6869,6292,577,5914.0,140.0,30,2026-03-11T16:28:58.031753
EU_W,1891,1722,169,6899.0,156.0,62,2026-03-11T16:28:58.029056
AF,242,236,6,9218.0,206.0,44,2026-03-11T16:28:58.032253
AS_S,197,174,23,7549.0,175.0,31,2026-03-11T16:28:58.030821
SA,186,175,11,7318.0,169.0,16,2026-03-11T16:28:58.032010
AS_E,146,137,9,7458.0,189.0,24,2026-03-11T16:28:58.031090
ME,119,115,4,9014.0,209.0,35,2026-03-11T16:28:58.030527
EU_E,89,87,2,7594.0,169.0,26,2026-03-11T16:28:58.029711
UKR,54,53,1,9148.0,203.0,24,2026-03-11T16:28:58.032480
TWN,36,36,0,8093.0,200.0,9,2026-03-11T16:28:58.032673
RU,19,19,0,10855.0,218.0,2,2026-03-11T16:28:58.030187
PG,18,18,0,9429.0,221.0,7,2026-03-11T16:28:58.032852
