GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1292361436,20250304,202503,2025,2025.1753,EUR,EUROPE,EUR,,,,,,,,,,,,,,,,,,1,61,61,6,2,6.4,5,1,5,-4.50928381962865,1,United Kingdom,UK,UK,,54.0,-4.0,UK,0,,,,,,,,1,United Kingdom,UK,UK,,54.0,-4.0,UK,20260304154500,https://www.thespiritsbusiness.com/2026/03/cognac-exports-to-north-america-slide-34/
1292361438,20260202,202602,2026,2026.0877,ESP,SPAIN,ESP,,,,,,,,MED,MEDIA,,,,,,MED,,,0,130,130,13,3,-4.4,1,1,1,-6.32603406326034,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,25806,41.3833,2.18333,-372490,20260304154500,https://www.aljazeera.com/news/2026/3/4/spain-no-to-israel-us-war-iran
1292361439,20260202,202602,2026,2026.0877,IGOEUREEC,EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,20,20,2,1,3.0,10,1,10,-1.60642570281124,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://peakoil.com/business/iran-war-could-reopen-eu-debate-over-russian-gas-norway-says
1292361440,20260202,202602,2026,2026.0877,IGOEUREEC,EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,51,51,5,1,3.4,4,1,4,-1.60642570281124,4,"Oslo, Oslo, Norway",NO,NO12,23413,59.9167,10.75,-273837,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Oslo, Oslo, Norway",NO,NO12,23413,59.9167,10.75,-273837,20260304154500,https://peakoil.com/business/iran-war-could-reopen-eu-debate-over-russian-gas-norway-says
1292361441,20260202,202602,2026,2026.0877,IGOEUREEC,EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,51,51,5,1,3.4,6,1,6,-1.60642570281124,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260304154500,https://peakoil.com/business/iran-war-could-reopen-eu-debate-over-russian-gas-norway-says
1292361442,20260202,202602,2026,2026.0877,IGOEUREEC,EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,61,61,6,2,6.4,4,1,4,-1.60642570281124,4,"Oslo, Oslo, Norway",NO,NO12,23413,59.9167,10.75,-273837,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260304154500,https://peakoil.com/business/iran-war-could-reopen-eu-debate-over-russian-gas-norway-says
1292361443,20260202,202602,2026,2026.0877,IRN,IRAN,IRN,,,,,,,,MIL,MILITARY,,,,,,MIL,,,0,150,150,15,4,-7.2,10,1,10,-3.1924882629108,4,"Gulf Of Oman, Iran (general), Iran",IR,IR00,40979,25.4489,57.7939,-3077385,4,"Qeshm, Kordestan, Iran",IR,IR16,41068,35.4421,47.3506,-3080448,4,"Qeshm, Kordestan, Iran",IR,IR16,41068,35.4421,47.3506,-3080448,20260304154500,https://www.independent.co.uk/news/world/middle-east/iran-strait-of-hormuz-economy-attacks-b2931612.html
1292361444,20260202,202602,2026,2026.0877,ISR,ISRAEL,ISR,,,,,,,,ISRMED,ISRAEL,ISR,,,,,MED,,,0,13,13,1,1,0.4,2,1,2,-5.78905630452022,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260304154500,https://www.aljazeera.com/news/2026/3/4/why-are-the-us-and-israel-framing-the-ongoing-conflict-as-a-religious-war
1292361445,20260202,202602,2026,2026.0877,ISR,ISRAEL,ISR,,,,,,,,MED,COMMENTATOR,,,,,,MED,,,0,13,13,1,1,0.4,8,1,8,-5.78905630452022,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260304154500,https://www.aljazeera.com/news/2026/3/4/why-are-the-us-and-israel-framing-the-ongoing-conflict-as-a-religious-war
1292361446,20260202,202602,2026,2026.0877,USAMED,REUTERS,USA,,,,,MED,,,,,,,,,,,,,0,10,10,1,1,0.0,2,1,2,-5.15970515970516,1,Venezuela,VE,VE,,8.0,-66.0,VE,0,,,,,,,,1,Venezuela,VE,VE,,8.0,-66.0,VE,20260304154500,https://www.yahoo.com/news/articles/trump-wild-move-retain-grip-054433965.html
1292361447,20260225,202602,2026,2026.1507,CAN,SASKATCHEWAN,CAN,,,,,,,,,,,,,,,,,,1,90,90,9,2,-2.0,6,1,6,-4.88888888888889,2,"Montana, United States",US,USMT,,46.9048,-110.326,MT,0,,,,,,,,2,"Montana, United States",US,USMT,,46.9048,-110.326,MT,20260304154500,https://www.swiftcurrentonline.com/articles/low-pressure-brings-fresh-snow-to-swift-current
1292361448,20260225,202602,2026,2026.1507,MIL,DESTROYER,,,,,,MIL,,,CYP,CYPRUS,CYP,,,,,,,,0,74,74,7,2,8.5,2,1,2,-2.28509249183896,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,Cyprus,CY,CY,,35.0,33.0,CY,1,Cyprus,CY,CY,,35.0,33.0,CY,20260304154500,https://www.irishnews.com/news/uk/starmer-says-uk-us-relationship-does-not-mean-hanging-on-to-trumps-words-WWKSM5YMVBPPJHM4WCMYLWNWNM/
1292361449,20260225,202602,2026,2026.1507,SWE,SWEDEN,SWE,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,17,17,1,1,0.0,2,1,2,-4.96644295302014,1,Sweden,SW,SW,,62.0,15.0,SW,1,Sweden,SW,SW,,62.0,15.0,SW,1,Sweden,SW,SW,,62.0,15.0,SW,20260304154500,https://www.thelocal.se/20260304/politics-in-sweden-sweden-needs-to-get-off-the-fence-on-iran-but-how
1292361450,20260225,202602,2026,2026.1507,SWE,SWEDEN,SWE,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,17,17,1,1,0.0,8,1,8,-4.96644295302014,1,Sweden,SW,SW,,62.0,15.0,SW,1,United States,US,US,,39.828175,-98.5795,US,1,Sweden,SW,SW,,62.0,15.0,SW,20260304154500,https://www.thelocal.se/20260304/politics-in-sweden-sweden-needs-to-get-off-the-fence-on-iran-but-how
1292361451,20260304,202603,2026,2026.1753,,,,,,,,,,,AFG,AFGHANISTAN,AFG,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-9.14512922465208,0,,,,,,,,4,"Islamabad, Islamabad, Pakistan",PK,PK08,23674,33.7,73.1667,-2762812,4,"Islamabad, Islamabad, Pakistan",PK,PK08,23674,33.7,73.1667,-2762812,20260304154500,https://tribune.com.pk/story/2595792/481-afghan-taliban-killed-226-checkposts-destroyed-as-operation-ghazab-lil-haq-enters-seventh-day
