icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
4bc8c3,PGT317,Turkey,40.516,29.2466,2118.36,132.55,297.76,False,2026-03-04 18:05:56
471efd,WZZ44ZL,Hungary,36.7467,28.722,10972.8,203.22,319.41,False,2026-03-04 18:05:56
4bc8cf,PGT63UR,Turkey,38.434,27.1165,1775.46,141.49,346.12,False,2026-03-04 18:05:56
46b82f,AEE994,Greece,39.825,26.9223,9448.8,225.33,36.74,False,2026-03-04 18:05:56
4bb601,TCMPA,Turkey,35.0053,30.8703,13106.4,207.55,357.3,False,2026-03-04 18:05:56
86cef4,ANA220,Japan,40.1403,37.7082,11269.98,236.3,60.81,False,2026-03-04 18:05:56
408064,WUK1207,United Kingdom,41.0986,28.7106,792.48,89.01,359.01,False,2026-03-04 18:05:56
5003e2,T7TLOL,San Marino,41.2202,28.7286,243.84,70.49,359.16,False,2026-03-04 18:05:56
39d30c,TVF50KR,France,34.9821,25.9288,10972.8,202.55,321.7,False,2026-03-04 18:05:56
4690e2,AEE4981,Greece,30.8325,30.5872,10972.8,197.6,316.58,False,2026-03-04 18:05:56
3c4b35,DLH716,Germany,40.8301,44.0101,10058.4,265.16,92.34,False,2026-03-04 18:05:56
3c4ad5,DLH754,Germany,22.8699,49.7181,11277.6,277.06,100.81,False,2026-03-04 18:05:56
4080ad,EZY58CL,United Kingdom,39.6613,27.0262,11277.6,249.3,136.76,False,2026-03-04 18:05:56
4bc84f,PGT88E,Turkey,40.669,28.9211,1524.0,114.22,89.23,False,2026-03-04 18:05:56
4bc847,PGT390,Turkey,40.9633,29.4854,1874.52,134.83,64.22,False,2026-03-04 18:05:56
4bc88c,PGT5QJ,Turkey,41.0773,27.7948,7048.5,206.62,134.6,False,2026-03-04 18:05:56
4bc88d,PGT7RG,Turkey,40.7952,29.0666,975.36,93.75,57.09,False,2026-03-04 18:05:56
4bc88a,PGT972,Turkey,41.9638,26.3747,10652.76,234.21,122.26,False,2026-03-04 18:05:56
4bc899,PGT26NK,Turkey,41.3185,27.4005,8938.26,237.19,134.3,False,2026-03-04 18:05:56
4bc88e,PGT4ZL,Turkey,40.2154,32.1529,10668.0,236.8,105.76,False,2026-03-04 18:05:56
4bc88f,PGT234Q,Turkey,41.5565,27.0746,10325.1,241.95,130.43,False,2026-03-04 18:05:56
738c0b,LOY872,Israel,33.7742,31.8909,4511.04,275.29,122.56,False,2026-03-04 18:05:56
4bc883,PGT74Y,Turkey,40.7064,29.0106,1424.94,119.91,30.42,False,2026-03-04 18:05:56
4bc882,PGT9QX,Turkey,41.7362,26.0128,10668.0,242.89,102.48,False,2026-03-04 18:05:56
500239,SMB442,San Marino,29.4787,32.3171,13106.4,195.73,307.95,False,2026-03-04 18:05:56
151dfb,SDM5964,Russian Federation,40.1372,37.7009,10668.0,210.96,60.81,False,2026-03-04 18:05:56
73934e,HEZ341,Israel,37.9865,27.4116,11887.2,252.77,139.21,False,2026-03-04 18:05:56
