icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
86d5b6,ANA106,Japan,35.2378,139.7852,4191.0,191.17,162.3,False,2026-03-11 17:14:23
86ced2,ANA814,Japan,22.2983,113.8973,,4.89,174.38,True,2026-03-11 17:14:23
86cef4,ANA221,Japan,36.0042,142.19,10424.16,291.38,47.86,False,2026-03-11 17:14:23
3c6704,DLH797,Germany,22.3121,113.93,,2.83,250.31,True,2026-03-11 17:14:23
c02eb9,ACA19,Canada,35.8579,134.0249,11574.78,226.14,238.3,False,2026-03-11 17:14:23
4aca64,SAS988,Sweden,38.7441,114.7191,11003.28,257.24,252.54,False,2026-03-11 17:14:23
a3f579,UPS195,United States,22.7771,113.7351,777.24,98.94,152.77,False,2026-03-11 17:14:23
782125,CSH857,China,22.348,112.5554,10393.68,198.4,227.21,False,2026-03-11 17:14:23
769102,SIA7442,Singapore,35.3864,141.8696,8839.2,293.65,107.96,False,2026-03-11 17:14:23
151df0,SDM6621,Russian Federation,40.2508,114.6755,6766.56,197.39,93.44,False,2026-03-11 17:14:23
abc591,FDX5230,United States,37.3451,142.0847,10058.4,284.93,67.05,False,2026-03-11 17:14:23
a97639,CKS931,United States,34.2426,126.7623,10058.4,256.1,15.38,False,2026-03-11 17:14:23
758584,APG128,Philippines,22.5862,120.3503,10058.4,225.97,346.44,False,2026-03-11 17:14:23
a2cb9e,UAL821,United States,25.3456,122.2687,10050.78,324.93,49.88,False,2026-03-11 17:14:23
781ace,CHB6232,China,22.3556,112.3578,11010.9,200.34,217.49,False,2026-03-11 17:14:23
682231,MGL308,Mongolia,39.5163,117.7141,10393.68,187.6,318.0,False,2026-03-11 17:14:23
a43952,UPS105,United States,37.3228,143.8029,9456.42,278.11,53.05,False,2026-03-11 17:14:23
86d9b8,JAL727,Japan,33.5694,133.5513,11269.98,207.67,241.28,False,2026-03-11 17:14:23
7821b8,CSN5356,China,39.5593,118.131,10698.48,196.7,68.2,False,2026-03-11 17:14:23
78233b,CSZ8920,China,22.6994,113.7777,266.7,66.95,153.04,False,2026-03-11 17:14:23
a95ca4,GTI8609,United States,34.1965,130.5608,9448.8,275.24,56.67,False,2026-03-11 17:14:23
abda7d,FDX5090,United States,34.435,135.2193,,5.92,5.62,True,2026-03-11 17:14:23
a51e24,GTI8364,United States,36.7566,126.5992,9593.58,265.42,155.37,False,2026-03-11 17:14:23
