icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
e49406,GLO2031,Brazil,-18.311,-40.925,10972.8,229.53,190.98,False,2026-03-11 17:14:37
a95e14,PSSSP,United States,-14.9292,-55.8192,6233.16,162.09,188.03,False,2026-03-11 17:14:37
e49444,AZU2836,Brazil,-25.645,-48.1162,11590.02,206.91,212.82,False,2026-03-11 17:14:37
e49445,AZU4070,Brazil,-21.8166,-47.1935,8321.04,213.0,353.06,False,2026-03-11 17:14:37
e8021f,ARE4240,Chile,10.1238,-73.4052,8260.08,233.1,25.49,False,2026-03-11 17:14:37
e49eb5,PRNGX,Brazil,-13.1127,-41.996,8229.6,137.32,19.25,False,2026-03-11 17:14:37
e0b214,ARG1325,Argentina,-10.7278,-58.9118,12192.0,239.05,176.92,False,2026-03-11 17:14:37
e07583,ARG1260,Argentina,-33.8873,-57.761,7155.18,213.33,232.05,False,2026-03-11 17:14:37
e07581,ARG1332,Argentina,-32.9975,-60.8639,11582.4,224.21,306.13,False,2026-03-11 17:14:37
e49eee,GLO7792,Brazil,-34.5607,-58.4132,,42.18,123.75,True,2026-03-11 17:14:37
e49eed,GLO1637,Brazil,-23.2175,-45.5144,7025.64,207.14,256.79,False,2026-03-11 17:14:37
e49ef4,GLO1449,Brazil,-22.616,-47.7037,8023.86,232.43,128.62,False,2026-03-11 17:14:37
e49ed4,TAM3159,Brazil,-25.5945,-47.3329,11887.2,251.11,35.58,False,2026-03-11 17:14:37
e0b284,FBZ5330,Argentina,-34.5502,-60.5908,11582.4,208.46,271.84,False,2026-03-11 17:14:37
e48ba7,TAM8147,Brazil,-5.8149,-39.2205,10363.2,251.63,210.6,False,2026-03-11 17:14:37
e0b281,JES3882,Argentina,-34.5633,-60.0294,9471.66,225.93,271.57,False,2026-03-11 17:14:37
e49368,AZU2641,Brazil,-16.6119,-39.7035,11887.2,240.01,27.72,False,2026-03-11 17:14:37
e48044,TAM3647,Brazil,-22.0613,-42.3378,8823.96,202.67,210.34,False,2026-03-11 17:14:37
e48053,TAM8139,Brazil,-23.4477,-46.5198,845.82,75.19,73.3,False,2026-03-11 17:14:37
e49388,AZU2732,Brazil,-24.1317,-47.4817,8359.14,224.42,199.97,False,2026-03-11 17:14:37
a3b90e,UPS410,United States,11.3545,-75.0057,10668.0,223.72,165.48,False,2026-03-11 17:14:37
e49f45,AZU4236,Brazil,-23.4642,-46.5815,1249.68,83.82,73.23,False,2026-03-11 17:14:37
a5701e,N45DR,United States,-8.397,-77.6442,13708.38,245.98,171.58,False,2026-03-11 17:14:37
e0b0c5,FBZ5851,Argentina,-34.3326,-58.7624,1821.18,107.39,97.43,False,2026-03-11 17:14:37
e49f52,AZU2232,Brazil,-23.6208,-46.6606,,2.83,146.25,True,2026-03-11 17:14:37
e49312,AZU2624,Brazil,-23.0372,-47.1063,1104.9,102.97,182.29,False,2026-03-11 17:14:37
c01040,ACA90,Canada,-26.9357,-49.0499,11582.4,213.87,221.78,False,2026-03-11 17:14:37
a115a8,PSYGO,United States,-22.9923,-46.3839,1798.32,71.83,54.03,False,2026-03-11 17:14:37
e49df6,PSGSA,Brazil,-21.3499,-41.6883,5791.2,125.75,57.87,False,2026-03-11 17:14:37
e491c3,GLO1444,Brazil,-18.7048,-41.4182,11887.2,249.24,48.35,False,2026-03-11 17:14:37
0ac3c4,CRONOS,Colombia,10.278,-74.5799,5730.24,207.04,177.29,False,2026-03-11 17:14:37
a6a3c2,JBU1703,United States,11.8546,-73.6015,11269.98,209.04,187.35,False,2026-03-11 17:14:37
e02659,ARG1905,Argentina,-34.559,-58.4112,,2.57,33.75,True,2026-03-11 17:14:37
0ac3fa,,Colombia,-2.2649,-70.6907,6408.42,111.17,120.6,False,2026-03-11 17:14:37
e0b110,JES3811,Argentina,-34.2533,-57.8082,7033.26,185.89,224.89,False,2026-03-11 17:14:37
0ac3b9,HK5217G,Colombia,10.6188,-74.7168,640.08,47.13,143.88,False,2026-03-11 17:14:37
e48b64,TAM3011,Brazil,-23.2345,-47.1088,3787.14,166.47,168.41,False,2026-03-11 17:14:37
e48b65,TAM3320,Brazil,-22.8094,-45.9319,5692.14,203.19,31.44,False,2026-03-11 17:14:37
e49247,LAN780,Brazil,-24.9845,-46.6233,10668.0,259.52,63.89,False,2026-03-11 17:14:37
e49220,TAM3486,Brazil,-3.7494,-38.6331,579.12,77.11,104.69,False,2026-03-11 17:14:37
e49234,TAM3202,Brazil,-23.6968,-48.4631,9052.56,209.17,261.37,False,2026-03-11 17:14:37
e49295,AZU2991,Brazil,-22.9044,-46.7923,2743.2,153.72,69.02,False,2026-03-11 17:14:37
e49266,GLO1134,Brazil,-22.9802,-48.4097,10363.2,210.8,285.43,False,2026-03-11 17:14:37
e4a5ee,PSMYM,Brazil,-23.8666,-47.8119,5974.08,158.59,182.42,False,2026-03-11 17:14:37
e49270,GLO1024,Brazil,-23.71,-46.4157,4488.18,153.8,81.92,False,2026-03-11 17:14:37
e072d4,ARG1653,Argentina,-37.0123,-63.6625,11887.2,243.44,59.8,False,2026-03-11 17:14:37
0bc201,J8GND,Saint Vincent and the Grenadines,13.1015,-59.7911,1051.56,74.02,109.06,False,2026-03-11 17:14:37
e80045,SKU1145,Chile,-34.3438,-71.0136,8709.66,219.52,192.86,False,2026-03-11 17:14:37
e80049,SKU101,Chile,-34.1294,-70.9558,7452.36,209.08,192.36,False,2026-03-11 17:14:37
e490b1,AZU6055,Brazil,-23.7362,-45.1325,8534.4,186.91,256.31,False,2026-03-11 17:14:37
e490c8,LTG8421,Brazil,10.8823,-60.6531,10058.4,233.46,148.52,False,2026-03-11 17:14:37
a95c2f,NCR856,United States,13.4535,-61.2202,11582.4,244.82,308.0,False,2026-03-11 17:14:37
e49caa,GLO1125,Brazil,-17.3404,-40.4116,9677.4,227.39,233.65,False,2026-03-11 17:14:37
abbe4a,GTI8832,United States,-7.4033,-77.3186,10972.8,255.4,355.61,False,2026-03-11 17:14:37
e4a4bf,PSBXO,Brazil,-21.5539,-48.4872,7879.08,129.97,355.91,False,2026-03-11 17:14:37
e80b36,CCKRF,Chile,-33.6066,-70.723,1341.12,58.0,6.62,False,2026-03-11 17:14:37
ababb7,GTI063,United States,-12.3511,-54.98,10668.0,249.15,149.2,False,2026-03-11 17:14:37
e80b3e,CCDJK,Chile,-33.4037,-70.6445,929.64,43.48,190.91,False,2026-03-11 17:14:37
e49d22,AZU4518,Brazil,-16.5612,-42.3854,11590.02,223.76,218.37,False,2026-03-11 17:14:37
e4a540,PRMNE,Brazil,-12.1133,-56.005,12496.8,179.04,154.83,False,2026-03-11 17:14:37
e4a527,TAM3492,Brazil,-3.6719,-38.7373,1242.06,84.17,149.52,False,2026-03-11 17:14:37
a126ea,UAL269,United States,13.5237,-75.1899,10972.8,249.29,342.84,False,2026-03-11 17:14:37
495275,AZU8730,Portugal,-15.4087,-45.9826,10363.2,249.28,335.23,False,2026-03-11 17:14:37
e49bfc,TAM3230,Brazil,-23.1835,-46.1873,3268.98,172.43,45.48,False,2026-03-11 17:14:37
ab00a3,N808LV,United States,9.8394,-74.5898,13716.0,252.63,164.41,False,2026-03-11 17:14:37
e200bb,LVS115,Argentina,-34.3028,-57.8093,1562.1,34.2,111.16,False,2026-03-11 17:14:37
e200b7,LVS106,Argentina,-34.382,-58.545,762.0,47.22,352.49,False,2026-03-11 17:14:37
e49c5a,TAM3509,Brazil,-3.7795,-38.5372,,0.0,194.06,True,2026-03-11 17:14:37
e49866,AZU4269,Brazil,-23.5551,-46.3407,4594.86,167.49,26.64,False,2026-03-11 17:14:37
aaba5f,PRTVA,United States,-12.6834,-55.7888,609.6,67.55,356.07,False,2026-03-11 17:14:37
e48519,TAM3121,Brazil,-22.611,-49.1394,9448.8,231.51,83.36,False,2026-03-11 17:14:37
0ac16f,HK4537,Colombia,9.9901,-75.2718,5783.58,122.14,146.51,False,2026-03-11 17:14:37
e80620,JES3816,Chile,-34.5974,-57.4897,6629.4,219.66,51.47,False,2026-03-11 17:14:37
e80626,JEC5427,Chile,9.9436,-75.6579,7383.78,193.06,184.74,False,2026-03-11 17:14:37
e80627,JEC5340,Chile,4.8414,-74.0474,4625.34,159.99,20.12,False,2026-03-11 17:14:37
e80622,JAP7259,Chile,-7.0901,-76.4644,6050.28,198.28,193.35,False,2026-03-11 17:14:37
e8062a,JES3162,Chile,-34.508,-58.5075,449.58,66.35,123.94,False,2026-03-11 17:14:37
e80600,JES3181,Chile,-36.4277,-61.8268,10972.8,217.81,241.2,False,2026-03-11 17:14:37
a68d02,DAL613,United States,14.1244,-70.1459,9144.0,232.66,181.9,False,2026-03-11 17:14:37
e0664b,,Argentina,-34.5597,-58.4123,,2.83,306.56,True,2026-03-11 17:14:37
e48fc2,TAM3633,Brazil,-16.5135,-42.3463,10370.82,227.45,218.3,False,2026-03-11 17:14:37
e48fb5,GLO1023,Brazil,-23.8075,-45.6078,9425.94,183.92,266.95,False,2026-03-11 17:14:37
e49763,TAM3265,Brazil,-21.2688,-47.165,10858.5,215.72,349.28,False,2026-03-11 17:14:37
e49764,TAM3822,Brazil,-25.2686,-48.7686,11582.4,196.95,243.97,False,2026-03-11 17:14:37
e064cb,ARG1894,Argentina,-38.5908,-60.9704,10972.8,220.97,209.73,False,2026-03-11 17:14:37
e495bc,PSHYC,Brazil,-23.5789,-47.2623,1485.9,90.49,298.9,False,2026-03-11 17:14:37
e495cc,GLO1321,Brazil,-23.0009,-46.7218,3977.64,148.75,208.96,False,2026-03-11 17:14:37
0acc97,NSE8736,Colombia,4.8113,-74.0567,3695.7,90.46,56.13,False,2026-03-11 17:14:37
e495c6,GLO1361,Brazil,-20.8134,-49.2721,2255.52,158.01,132.63,False,2026-03-11 17:14:37
e495fc,AZU4570,Brazil,-23.3807,-46.3298,1874.52,142.56,57.23,False,2026-03-11 17:14:37
e482c5,TAM3213,Brazil,-14.7218,-44.2024,9753.6,244.89,180.6,False,2026-03-11 17:14:37
e495db,TAM3361,Brazil,-23.1075,-46.4882,3810.0,146.64,167.23,False,2026-03-11 17:14:37
e48396,GLO1230,Brazil,-24.0057,-47.1697,6903.72,193.59,238.25,False,2026-03-11 17:14:37
a262a6,AVA9717,United States,8.955,-75.7215,8839.2,214.07,185.79,False,2026-03-11 17:14:37
e06543,ARG1843,Argentina,-35.5381,-59.4159,6438.9,208.03,33.81,False,2026-03-11 17:14:37
0acc49,HK4938G,Colombia,11.0088,-75.0189,1661.16,41.01,199.8,False,2026-03-11 17:14:37
e49641,AZU2691,Brazil,-22.9743,-47.1807,868.68,66.78,127.49,False,2026-03-11 17:14:37
e48f69,TAM3963,Brazil,-27.6947,-48.3719,10645.14,248.83,45.5,False,2026-03-11 17:14:37
e4962e,AZU4669,Brazil,-4.4628,-38.6164,5768.34,200.76,194.39,False,2026-03-11 17:14:37
e80490,LAN080,Chile,-33.9491,-71.0649,5920.74,216.67,22.18,False,2026-03-11 17:14:37
e49697,TAM8142,Brazil,-32.5056,-55.9883,9738.36,199.19,227.62,False,2026-03-11 17:14:37
