icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
80166c,AIC2017,India,30.7621,30.6635,11574.78,224.16,316.49,False,2026-03-11 17:14:37
4952a9,TAP298,Portugal,35.3383,-4.7254,12192.0,227.66,292.45,False,2026-03-11 17:14:37
00b231,SAA362,South Africa,-34.0264,18.6213,723.9,97.96,165.09,False,2026-03-11 17:14:37
51118a,MBU8KZ,Estonia,30.4212,-13.6365,10972.8,235.31,37.27,False,2026-03-11 17:14:37
440209,EJU91WZ,Austria,29.3548,-13.4504,11277.6,204.72,218.37,False,2026-03-11 17:14:37
4aca81,NSZ4615,Sweden,29.2365,32.1135,11277.6,250.65,143.77,False,2026-03-11 17:14:37
4aca8b,NSZ8PV,Sweden,32.4118,-15.4489,10972.8,233.34,25.32,False,2026-03-11 17:14:37
801612,AIC162,India,23.1576,49.3119,11887.2,302.76,111.11,False,2026-03-11 17:14:37
00c469,SFR268,South Africa,-26.9091,28.876,8724.9,234.4,156.87,False,2026-03-11 17:14:37
00c463,,South Africa,-33.9614,18.5984,,1.8,45.0,True,2026-03-11 17:14:37
39d314,TVF78TL,France,35.4094,-5.5432,11887.2,240.06,216.11,False,2026-03-11 17:14:37
00c45f,SFR635,South Africa,-33.4683,19.1302,5631.18,177.9,221.25,False,2026-03-11 17:14:37
3c786b,CFG217,Germany,35.485,25.3905,11574.78,215.72,321.68,False,2026-03-11 17:14:37
408262,EXS156,United Kingdom,36.848,-15.358,10972.8,228.07,2.2,False,2026-03-11 17:14:37
40823f,EXS1664,United Kingdom,33.3246,-15.772,10965.18,232.87,6.21,False,2026-03-11 17:14:37
3c64a1,DLH583,Germany,34.7237,27.7071,10363.2,213.51,333.06,False,2026-03-11 17:14:37
0a0060,DAH6332,Algeria,35.9125,0.1736,3314.7,141.19,246.14,False,2026-03-11 17:14:37
3c64a8,DLH1769,Germany,35.8132,30.0844,10980.42,221.84,286.71,False,2026-03-11 17:14:37
440352,EJU1869,Austria,33.7377,-15.5867,8221.98,188.67,222.13,False,2026-03-11 17:14:37
a69bd9,DAL200,United States,-25.5272,25.6424,12496.8,250.03,90.59,False,2026-03-11 17:14:37
