icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
801612,AIC162,India,23.1576,49.3119,11887.2,302.76,111.11,False,2026-03-11 17:14:58
8960f1,UAE71J,United Arab Emirates,23.1123,50.5116,11887.2,306.45,98.59,False,2026-03-11 17:14:58
896401,ABY601,United Arab Emirates,23.304,48.9336,11894.82,278.22,97.65,False,2026-03-11 17:14:58
70c11e,OMA680,Oman,23.2329,49.4425,11277.6,288.1,113.13,False,2026-03-11 17:14:58
89630b,UAE5W,United Arab Emirates,24.6529,55.9662,60.96,53.39,205.08,False,2026-03-11 17:14:58
6832b2,VSV464,Kazakhstan,23.0635,49.8438,9448.8,265.11,94.12,False,2026-03-11 17:14:58
8963da,UAE817,United Arab Emirates,24.4724,52.5338,9144.0,62.58,332.59,False,2026-03-11 17:14:58
896457,UAE7CN,United Arab Emirates,22.9232,51.8253,7216.14,725.93,226.41,False,2026-03-11 17:14:58
896461,ETD81C,United Arab Emirates,23.3579,48.9258,12496.8,299.73,92.66,False,2026-03-11 17:14:58
896601,ABY705,United Arab Emirates,25.3296,55.5075,4518.66,0.73,135.0,False,2026-03-11 17:14:58
8964a1,UAE5WR,United Arab Emirates,23.3545,49.0013,10668.0,305.04,94.64,False,2026-03-11 17:14:58
507cb6,MFX331,Uzbekistan,22.1687,49.924,11582.4,202.1,259.29,False,2026-03-11 17:14:58
896718,ABY287,United Arab Emirates,25.3292,55.5076,9745.98,352.54,161.27,False,2026-03-11 17:14:58
896717,ABY283,United Arab Emirates,25.3299,55.5074,9745.98,0.0,0.0,False,2026-03-11 17:14:58
010261,RMX7702,Egypt,24.4679,52.5363,10363.2,110.0,332.12,False,2026-03-11 17:14:58
3b7569,FAF4072,France,26.0957,53.57,9745.98,0.51,270.0,False,2026-03-11 17:14:58
710056,SVA738,Saudi Arabia,23.1537,48.8068,10058.4,292.18,108.37,False,2026-03-11 17:14:58
