icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
39de4f,TVF50SV,France,45.7809,-2.464,11597.64,236.32,47.56,False,2026-03-11 17:39:14
4b1815,SWR9KF,Switzerland,47.4525,8.5594,,0.0,275.62,True,2026-03-11 17:39:14
39de4d,TVF11DL,France,46.9272,1.3457,11277.6,223.9,205.45,False,2026-03-11 17:39:14
440da5,EJU59DF,Austria,44.9495,-0.4134,10972.8,226.35,19.79,False,2026-03-11 17:39:14
39de51,TVF47ZR,France,41.2077,-2.6213,6751.32,203.47,182.9,False,2026-03-11 17:39:14
39de53,TVF68HB,France,43.5115,1.522,10988.04,222.41,355.49,False,2026-03-11 17:39:14
39de55,TVF3825,France,48.7649,2.6067,952.5,96.11,254.48,False,2026-03-11 17:39:14
39de54,TVF67QR,France,45.8288,6.1986,11879.58,228.91,136.73,False,2026-03-11 17:39:14
4b1804,SWR,Switzerland,47.4409,8.562,,0.0,244.69,True,2026-03-11 17:39:14
4b1805,SWR5MT,Switzerland,47.4543,8.5575,396.24,0.0,185.62,True,2026-03-11 17:39:14
ae018a,DOVE88,United States,48.4144,17.8595,10355.58,227.39,313.99,False,2026-03-11 17:39:14
4b1800,SWR5GM,Switzerland,47.8271,5.8985,11841.48,217.74,304.22,False,2026-03-11 17:39:14
4a2095,TOY15,Romania,44.9896,13.2313,12192.0,195.87,69.23,False,2026-03-11 17:39:14
4b1801,SWR3YA,Switzerland,48.5431,4.289,10972.8,217.73,303.73,False,2026-03-11 17:39:14
4952cb,TAP9117,Portugal,44.6825,3.3471,10972.8,244.39,60.63,False,2026-03-11 17:39:14
4952cc,TAP1906,Portugal,37.1957,-8.3051,4579.62,186.83,312.21,False,2026-03-11 17:39:14
4952d0,TAP9119,Portugal,43.3479,0.7866,10972.8,239.84,52.93,False,2026-03-11 17:39:14
01de72,BNI9U,Libyan Arab Jamahiriya,51.6603,19.4782,1737.36,37.09,156.28,False,2026-03-11 17:39:14
