icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
51113f,NYX207,Estonia,59.415,24.8225,,9.26,81.56,True,2026-03-11 17:39:19
488e48,SPDTI,Poland,50.5575,21.1147,548.64,68.1,317.76,False,2026-03-11 17:39:19
3c65da,DLH7HY,Germany,52.036,21.0805,883.92,98.74,331.7,False,2026-03-11 17:39:19
471f67,WMT765,Hungary,45.4733,22.8073,11087.1,222.32,112.59,False,2026-03-11 17:39:19
48ca6b,SPTUL,Poland,50.1006,22.0193,274.32,37.04,232.33,False,2026-03-11 17:39:19
3c670b,DLH723,Germany,46.3015,20.1497,12192.0,246.64,289.12,False,2026-03-11 17:39:19
3c4b33,DLH717,Germany,45.9881,22.6815,10972.8,247.6,297.74,False,2026-03-11 17:39:19
51108d,ESPWC,Estonia,59.7061,25.0432,99.06,30.59,340.35,False,2026-03-11 17:39:19
4bb46f,MNB296,Turkey,47.3566,20.3896,10363.2,242.12,311.04,False,2026-03-11 17:39:19
151dd1,AFL1314,Russian Federation,55.9804,37.405,7094.22,27.65,45.0,False,2026-03-11 17:39:19
151dd4,AFL1868,Russian Federation,55.9693,37.4006,5684.52,28.14,329.22,False,2026-03-11 17:39:19
151df3,SDM6330,Russian Federation,59.169,21.622,10660.38,240.65,63.6,False,2026-03-11 17:39:19
471d60,WZZ1RT,Hungary,45.121,26.0627,10370.82,231.92,307.43,False,2026-03-11 17:39:19
151e3d,SDM6283,Russian Federation,55.9824,37.4149,8892.54,27.82,86.82,False,2026-03-11 17:39:19
151e57,PBD6825,Russian Federation,55.9794,37.427,4099.56,28.03,137.23,False,2026-03-11 17:39:19
151e5c,PBD6855,Russian Federation,55.9783,37.4285,4686.3,27.88,142.5,False,2026-03-11 17:39:19
471db3,WMT18TV,Hungary,46.0491,25.0947,10980.42,227.3,249.19,False,2026-03-11 17:39:19
440118,TAY1804,Austria,59.9176,20.3621,10363.2,205.32,259.17,False,2026-03-11 17:39:19
4007f2,BAW168,United Kingdom,46.6716,21.539,11582.4,246.43,297.47,False,2026-03-11 17:39:19
151d7e,UTA732,Russian Federation,59.9375,32.6817,4061.46,41.12,31.7,False,2026-03-11 17:39:19
4601f7,FIN89W,Finland,55.4644,24.9303,5486.4,137.12,349.41,False,2026-03-11 17:39:19
4601fa,FIN2MC,Finland,58.8352,24.7104,5791.2,148.73,13.6,False,2026-03-11 17:39:19
4bab56,TKJ7KA,Turkey,47.0167,20.281,11277.6,233.11,120.36,False,2026-03-11 17:39:19
4867c0,KLM62R,Kingdom of the Netherlands,45.6896,23.5333,11582.4,229.93,298.17,False,2026-03-11 17:39:19
44cdc9,BEL7NX,Belgium,54.0923,21.9794,11422.38,214.4,258.23,False,2026-03-11 17:39:19
48a598,SPKMV,Poland,50.3091,21.4587,289.56,37.78,96.25,False,2026-03-11 17:39:19
78115f,CCA958,China,54.9118,26.3646,10058.4,250.94,76.85,False,2026-03-11 17:39:19
4ab823,NSZ5275,Sweden,48.2202,20.4448,10972.8,233.37,334.96,False,2026-03-11 17:39:19
781104,CES592,China,55.9798,37.4263,6896.1,28.01,134.26,False,2026-03-11 17:39:19
4bb213,THY9UJ,Turkey,50.8479,21.1277,7322.82,214.53,0.27,False,2026-03-11 17:39:19
7810c6,GCR7965,China,56.4989,20.9251,11582.4,231.23,261.04,False,2026-03-11 17:39:19
770590,ALK503,Sri Lanka,45.4727,23.1345,11582.4,236.86,299.68,False,2026-03-11 17:39:19
40688e,BAW277,United Kingdom,46.4725,22.0765,11887.2,248.85,118.53,False,2026-03-11 17:39:19
abaf6e,GTI5561,United States,45.9447,22.1235,11277.6,247.2,114.86,False,2026-03-11 17:39:19
48af12,LOT3FB,Poland,52.9082,20.0366,11582.4,193.19,320.08,False,2026-03-11 17:39:19
48af10,LOT373,Poland,52.0816,20.2436,4320.54,160.73,251.91,False,2026-03-11 17:39:19
461f4d,FIN61,Finland,56.7593,24.1061,10881.36,246.38,185.15,False,2026-03-11 17:39:19
48af03,LOT4CE,Poland,52.952,20.0853,11582.4,193.22,328.72,False,2026-03-11 17:39:19
48af00,LOT6ED,Poland,52.1703,20.4772,2522.22,170.05,262.87,False,2026-03-11 17:39:19
461f5a,FIN67,Finland,50.6505,22.1825,10668.0,246.13,187.81,False,2026-03-11 17:39:19
461f52,FIN41,Finland,53.4323,22.724,10668.0,246.5,187.56,False,2026-03-11 17:39:19
461f54,FIN151,Finland,46.3353,25.1388,11887.2,248.13,133.99,False,2026-03-11 17:39:19
461f09,FIN121,Finland,59.4422,24.4523,4846.32,189.59,183.11,False,2026-03-11 17:39:19
4ab569,SAS1748,Sweden,59.6768,20.0621,5173.98,144.62,91.63,False,2026-03-11 17:39:19
507ca5,MFX7686,Uzbekistan,45.4702,24.7174,10668.0,229.71,119.67,False,2026-03-11 17:39:19
48ea4a,SPCTX,Poland,52.2849,20.987,518.16,44.53,220.31,False,2026-03-11 17:39:19
780bd9,CSN342,China,55.9732,37.4288,5882.64,27.95,173.66,False,2026-03-11 17:39:19
4bce0f,SXS4BK,Turkey,45.0603,20.4924,11582.4,233.48,308.74,False,2026-03-11 17:39:19
15200a,AFL1216,Russian Federation,55.6085,39.7112,10073.64,28.0,249.57,False,2026-03-11 17:39:19
152046,SVR167,Russian Federation,57.7726,20.6461,10050.78,215.91,190.99,False,2026-03-11 17:39:19
48ad0f,LOT225,Poland,51.7889,20.3773,4945.38,179.37,211.27,False,2026-03-11 17:39:19
502dac,BTI6EY,Latvia,58.3304,25.0061,8702.04,212.62,177.78,False,2026-03-11 17:39:19
48ad02,LOT502,Poland,51.1175,20.3263,7162.8,204.61,31.53,False,2026-03-11 17:39:19
78029e,CSS102,China,58.2617,24.6173,10668.0,252.39,68.35,False,2026-03-11 17:39:19
48ada9,LOT646,Poland,45.2714,25.4673,6835.14,194.64,320.04,False,2026-03-11 17:39:19
48ada2,LOT461,Poland,52.1619,20.9844,,6.17,205.31,True,2026-03-11 17:39:19
48ada1,LOT2301,Poland,49.1735,21.4871,11277.6,228.64,160.14,False,2026-03-11 17:39:19
502d46,DLH9851,Latvia,54.291,22.9871,10355.58,209.61,226.59,False,2026-03-11 17:39:19
502d45,BTI6UN,Latvia,56.5222,20.7033,10363.2,208.34,258.61,False,2026-03-11 17:39:19
502d5c,BTI2DH,Latvia,56.9492,23.9755,99.06,59.94,185.42,False,2026-03-11 17:39:19
48ae25,LOT45,Poland,52.2272,20.9083,678.18,118.59,314.65,False,2026-03-11 17:39:19
48ae22,LOT7245,Poland,52.2066,20.7535,2065.02,131.84,244.33,False,2026-03-11 17:39:19
48ae21,,Poland,52.1605,20.9757,,10.29,143.44,True,2026-03-11 17:39:19
485e2d,KLM897,Kingdom of the Netherlands,47.5444,20.003,10660.38,249.79,118.68,False,2026-03-11 17:39:19
502ce6,BTI7BA,Latvia,54.4547,23.0841,10363.2,216.63,185.72,False,2026-03-11 17:39:19
461e1f,FIN8AL,Finland,56.611,23.5058,11582.4,228.87,190.1,False,2026-03-11 17:39:19
4caf29,RYR48PD,Ireland,45.2427,24.5286,8717.28,224.71,294.34,False,2026-03-11 17:39:19
503ee8,VST68,Lithuania,54.6408,25.2779,,5.92,92.81,True,2026-03-11 17:39:19
503efe,VEDLYS 2,Lithuania,54.6424,25.2832,,5.92,22.5,True,2026-03-11 17:39:19
48e9f6,RYR2463,Poland,45.3142,20.4371,11582.4,233.55,314.46,False,2026-03-11 17:39:19
48e9b3,SPAMT,Poland,52.063,21.2246,304.8,46.27,118.56,False,2026-03-11 17:39:19
4cadb8,RYR93YD,Ireland,57.118,24.0119,1104.9,98.01,221.81,False,2026-03-11 17:39:19
4ba913,THY7PU,Turkey,54.8396,25.2354,1691.64,135.08,58.55,False,2026-03-11 17:39:19
424c8c,MABSU,United Kingdom,47.0603,23.4195,12192.0,236.09,319.51,False,2026-03-11 17:39:19
4ba893,THY6445,Turkey,46.1648,24.3469,11277.6,233.59,144.14,False,2026-03-11 17:39:19
4d22b9,RYR183,Malta,45.6393,20.5558,10355.58,222.17,328.44,False,2026-03-11 17:39:19
48e95b,LOT7PC,Poland,59.415,24.8299,,8.23,90.0,True,2026-03-11 17:39:19
155c0b,SDM6498,Russian Federation,59.8095,30.2467,9456.42,75.89,285.73,False,2026-03-11 17:39:19
4c01e4,ASL88K,Serbia,45.3726,20.0294,7383.78,205.21,325.31,False,2026-03-11 17:39:19
151ffc,AFL1005,Russian Federation,59.9458,26.0471,10637.52,241.5,77.33,False,2026-03-11 17:39:19
151fff,AFL1541,Russian Federation,55.9823,37.4172,784.86,27.86,94.24,False,2026-03-11 17:39:19
151ff0,AFL1963,Russian Federation,55.6173,39.7224,6271.26,27.86,175.76,False,2026-03-11 17:39:19
151ff9,AFL1583,Russian Federation,55.9808,37.4242,1356.36,27.88,119.88,False,2026-03-11 17:39:19
4c01ec,ASL56C,Serbia,46.4575,20.1719,10591.8,228.35,356.38,False,2026-03-11 17:39:19
503c48,VKG4948,Lithuania,54.7388,25.3584,609.6,75.59,203.25,False,2026-03-11 17:39:19
48c2a1,RYR77AH,Poland,56.7873,20.1914,10370.82,223.37,271.72,False,2026-03-11 17:39:19
4cac24,RYR75JD,Ireland,50.1116,22.0206,,12.35,92.81,True,2026-03-11 17:39:19
5113c3,FORUS12,Estonia,59.4167,24.8,,5.92,343.12,True,2026-03-11 17:39:19
151ece,SBI1015,Russian Federation,59.9379,32.682,6758.94,40.85,31.09,False,2026-03-11 17:39:19
48e8ba,SPCBS,Poland,52.2658,20.9421,297.18,51.44,286.26,False,2026-03-11 17:39:19
4d213e,WZZ902F,Malta,51.9774,20.6121,3695.7,166.09,194.9,False,2026-03-11 17:39:19
504e86,FIA5547,Republic of Moldova,47.5646,24.1255,10965.18,224.71,282.16,False,2026-03-11 17:39:19
504e87,FIA5738,Republic of Moldova,47.7182,23.2795,10675.62,225.4,101.72,False,2026-03-11 17:39:19
4b191b,SWR181,Switzerland,45.7926,22.0531,10972.8,240.74,291.96,False,2026-03-11 17:39:19
48c22c,RYR4LL,Poland,50.8193,21.7813,11871.96,229.2,350.96,False,2026-03-11 17:39:19
48c234,RYR8118,Poland,53.8946,22.5078,11582.4,225.49,212.42,False,2026-03-11 17:39:19
155be0,SDM6516,Russian Federation,59.8087,30.2522,10058.4,76.53,286.0,False,2026-03-11 17:39:19
885177,THA916,Thailand,45.4018,23.9628,10972.8,241.06,294.32,False,2026-03-11 17:39:19
