icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
782079,CAO3153,China,56.9316,87.247,9753.6,226.6,302.86,False,2026-03-11 17:39:26
151df8,SDM6793,Russian Federation,52.3943,85.2905,10363.2,215.99,217.74,False,2026-03-11 17:39:26
151dc6,AFL325,Russian Federation,53.1338,49.9595,10972.8,27.9,67.22,False,2026-03-11 17:39:26
151e09,PBD6547,Russian Federation,57.4286,82.4718,10972.8,210.92,282.68,False,2026-03-11 17:39:26
151e40,SDM6267,Russian Federation,64.8523,58.2303,10058.4,257.6,60.31,False,2026-03-11 17:39:26
151d97,AFL1445,Russian Federation,60.1876,49.1833,10363.2,204.01,251.93,False,2026-03-11 17:39:26
781161,CCA436,China,56.2183,85.8767,11887.2,261.59,147.53,False,2026-03-11 17:39:26
781f2d,CCA828,China,56.6482,83.3135,11277.6,272.26,118.07,False,2026-03-11 17:39:26
781fb2,CCA968,China,56.6646,83.2574,11887.2,270.9,118.22,False,2026-03-11 17:39:26
507c54,UZB601,Uzbekistan,53.1316,49.9884,13098.78,27.99,126.03,False,2026-03-11 17:39:26
781684,CES710,China,56.5811,83.3613,11277.6,272.18,121.32,False,2026-03-11 17:39:26
7802fd,CSS111,China,54.8431,88.6335,9745.98,456.7,221.39,False,2026-03-11 17:39:26
7804a7,CES202,China,56.4149,84.0966,10668.0,268.72,118.97,False,2026-03-11 17:39:26
151fc1,SBI5257,Russian Federation,55.5498,88.9903,10668.0,27.9,112.78,False,2026-03-11 17:39:26
151fb6,AUL538,Russian Federation,56.502,43.3246,10972.8,219.36,291.03,False,2026-03-11 17:39:26
151ec2,SBI5203,Russian Federation,55.5466,88.9964,10660.38,27.99,143.97,False,2026-03-11 17:39:26
155bf1,LLM855,Russian Federation,64.3555,53.5075,10972.8,213.14,245.17,False,2026-03-11 17:39:26
7808cb,CCA772,China,56.6814,83.3432,10058.4,268.02,118.93,False,2026-03-11 17:39:26
