icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
a21b74,TWY235,United States,40.7774,-73.8805,,0.0,120.94,True,2026-03-11 17:39:52
aa8c39,UAL1119,United States,25.482,-96.6598,11887.2,262.7,124.47,False,2026-03-11 17:39:52
aa3cbe,N759PA,United States,40.8853,-112.7999,2438.4,62.38,220.65,False,2026-03-11 17:39:52
a5cb05,N4721B,United States,27.6909,-81.9621,822.96,49.33,352.21,False,2026-03-11 17:39:52
a7b08d,LXJ595,United States,40.4359,-89.4312,13098.78,192.2,259.2,False,2026-03-11 17:39:52
a2e5ec,SKW3884,United States,40.5846,-91.563,7620.0,193.0,157.26,False,2026-03-11 17:39:52
ade191,DAL2007,United States,44.2932,-84.9473,7620.0,241.25,106.35,False,2026-03-11 17:39:52
a665b9,LXJ511,United States,39.3947,-74.9885,11628.12,210.63,225.49,False,2026-03-11 17:39:52
a4ab0d,,United States,34.5246,-84.3597,853.44,52.51,41.03,False,2026-03-11 17:39:52
a305fd,SKW3675,United States,43.1541,-113.3391,10668.0,278.67,119.17,False,2026-03-11 17:39:52
a678e5,JTZ516,United States,33.3647,-105.0167,3505.2,143.7,277.4,False,2026-03-11 17:39:52
a65ebc,N5097R,United States,35.9265,-76.6802,1005.84,73.46,83.97,False,2026-03-11 17:39:52
aa56d4,UAL2227,United States,29.4603,-94.0156,5570.22,180.12,285.74,False,2026-03-11 17:39:52
aa56d5,UAL217,United States,38.4677,-109.0381,9753.6,188.8,270.0,False,2026-03-11 17:39:52
a0e279,N156WM,United States,26.3299,-80.778,1203.96,58.12,79.29,False,2026-03-11 17:39:52
a5820e,N454MC,United States,32.0574,-82.2614,2377.44,71.22,175.44,False,2026-03-11 17:39:52
aaa6d0,CXK1007,United States,32.4616,-110.057,2956.56,72.51,105.22,False,2026-03-11 17:39:52
a4b20f,N401TP,United States,33.5306,-112.9986,2164.08,76.95,251.69,False,2026-03-11 17:39:52
acdfa6,AAL2273,United States,25.706,-80.0268,2598.42,143.06,110.19,False,2026-03-11 17:39:52
a33b52,N307WL,United States,28.4646,-82.8068,1310.64,80.6,65.89,False,2026-03-11 17:39:52
ac4963,DAL1357,United States,28.4601,-80.9897,10668.0,223.1,340.19,False,2026-03-11 17:39:52
aae316,AAL1013,United States,28.267,-97.5271,10972.8,203.72,180.0,False,2026-03-11 17:39:52
ac1c0e,N88FW,United States,28.5839,-87.3261,10972.8,171.5,298.49,False,2026-03-11 17:39:52
a282e5,MXY516,United States,35.7643,-102.8005,10972.8,207.01,267.44,False,2026-03-11 17:39:52
a36898,DAL2852,United States,39.4554,-84.8479,9296.4,241.17,347.68,False,2026-03-11 17:39:52
acdfa3,ASA772,United States,44.8234,-101.0975,10363.2,195.07,289.25,False,2026-03-11 17:39:52
a665c5,GJS4405,United States,40.6967,-74.1715,,5.4,331.88,True,2026-03-11 17:39:52
a1c5f3,N213PG,United States,38.5925,-78.7267,2446.02,64.67,238.33,False,2026-03-11 17:39:52
abc6bd,N858TD,United States,36.4656,-114.7757,2186.94,91.43,227.96,False,2026-03-11 17:39:52
abacb6,SCX745,United States,33.7577,-84.5411,10668.0,246.45,144.09,False,2026-03-11 17:39:52
aae327,N800PE,United States,36.5104,-100.0121,11887.2,238.75,91.11,False,2026-03-11 17:39:52
a57b3f,WUP452,United States,27.7494,-82.2767,1760.22,118.6,214.93,False,2026-03-11 17:39:52
ab63bc,N833CL,United States,41.2199,-102.9697,12192.0,194.24,276.69,False,2026-03-11 17:39:52
a21b44,MXY784,United States,37.4223,-81.8152,7917.18,232.18,2.16,False,2026-03-11 17:39:52
a41ecb,N3649R,United States,38.0004,-122.0893,2164.08,67.08,113.03,False,2026-03-11 17:39:52
aa8c10,SKW445W,United States,40.2083,-86.1162,4267.2,172.59,3.08,False,2026-03-11 17:39:52
aa56b5,UAL2153,United States,37.6144,-122.3648,-137.16,76.17,297.78,False,2026-03-11 17:39:52
a09273,N136KY,United States,42.5865,-71.7392,487.68,62.69,336.8,False,2026-03-11 17:39:52
a46e40,DAL2564,United States,34.652,-78.6472,9768.84,219.38,217.57,False,2026-03-11 17:39:52
aa56b8,UAL2318,United States,39.123,-119.8328,11582.4,215.62,349.41,False,2026-03-11 17:39:52
