icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
4bc8d4,PGT6KU,Turkey,44.9408,25.6039,11262.36,222.47,144.03,False,2026-03-11 17:39:55
471f6e,WMT1AN,Hungary,44.3918,23.432,10805.16,215.67,262.87,False,2026-03-11 17:39:55
471f67,WMT765,Hungary,45.4459,22.9013,10972.8,222.4,112.29,False,2026-03-11 17:39:55
3c6703,DLH712,Germany,43.394,29.2358,11277.6,245.3,122.76,False,2026-03-11 17:39:55
48ca6b,SPTUL,Poland,50.09,22.0189,396.24,36.38,133.85,False,2026-03-11 17:39:55
3c4b33,DLH717,Germany,46.0253,22.5804,10972.8,247.84,297.84,False,2026-03-11 17:39:55
3c4ad7,DLH728,Germany,43.987,28.2086,10058.4,244.27,123.49,False,2026-03-11 17:39:55
4bc889,PGT505G,Turkey,43.8348,22.1125,11285.22,230.57,123.9,False,2026-03-11 17:39:55
471d60,WZZ1RT,Hungary,45.166,25.9795,10370.82,231.61,307.33,False,2026-03-11 17:39:55
471d61,WZZ44T,Hungary,44.9068,27.3948,10668.0,218.19,132.04,False,2026-03-11 17:39:55
471db3,WMT18TV,Hungary,46.0228,24.9964,10980.42,227.19,248.9,False,2026-03-11 17:39:55
4867c0,KLM62R,Kingdom of the Netherlands,45.7253,23.4383,11582.4,230.38,298.11,False,2026-03-11 17:39:55
3c0121,BVR101,Germany,44.5401,26.4649,12489.18,257.54,119.43,False,2026-03-11 17:39:55
4baa0d,THY1XY,Turkey,43.0908,24.1154,10363.2,231.64,286.38,False,2026-03-11 17:39:55
77058c,ALK558,Sri Lanka,43.7116,28.2572,10668.0,232.55,118.83,False,2026-03-11 17:39:55
77058d,ALK564,Sri Lanka,43.7186,28.3497,10668.0,231.89,120.09,False,2026-03-11 17:39:55
770590,ALK503,Sri Lanka,45.5103,23.0409,11582.4,237.11,299.79,False,2026-03-11 17:39:55
40688e,BAW277,United Kingdom,46.4332,22.1811,11887.2,248.15,118.48,False,2026-03-11 17:39:55
485345,KLM867,Kingdom of the Netherlands,43.2616,29.6358,10660.38,239.65,126.18,False,2026-03-11 17:39:55
abaf6e,GTI5561,United States,45.9112,22.2269,11277.6,247.2,114.86,False,2026-03-11 17:39:55
48af19,LOT189,Poland,44.9817,27.288,11277.6,223.31,131.92,False,2026-03-11 17:39:55
461f5a,FIN67,Finland,50.5717,22.1654,10668.0,246.71,187.91,False,2026-03-11 17:39:55
461f54,FIN151,Finland,46.2796,25.2217,11887.2,247.03,134.07,False,2026-03-11 17:39:55
3c48f0,LHX9MF,Germany,44.5577,25.9876,358.14,71.36,84.21,False,2026-03-11 17:39:55
507ca5,MFX7686,Uzbekistan,45.4329,24.8099,10668.0,229.27,119.73,False,2026-03-11 17:39:55
4bcdb6,SXS84R,Turkey,43.0991,25.4249,11277.6,233.77,111.43,False,2026-03-11 17:39:55
4d0117,CLX515,Luxembourg,44.8599,25.8387,10363.2,252.76,302.36,False,2026-03-11 17:39:55
48ada8,LOT6PD,Poland,43.3981,23.3597,6362.7,203.42,349.66,False,2026-03-11 17:39:55
48ada9,LOT646,Poland,45.3212,25.4107,7132.32,197.81,320.8,False,2026-03-11 17:39:55
3474cd,WFL8621,Spain,43.2204,29.7114,10668.0,58.71,204.32,False,2026-03-11 17:39:55
4caf26,RYR6GM,Ireland,44.3819,24.634,10972.8,232.01,326.94,False,2026-03-11 17:39:55
4caf29,RYR48PD,Ireland,45.2726,24.4342,8968.74,226.12,294.17,False,2026-03-11 17:39:55
3c7a41,CFG2368,Germany,43.7025,28.573,10668.0,228.89,122.8,False,2026-03-11 17:39:55
424c8c,MABSU,United Kingdom,47.1185,23.3468,12192.0,236.09,319.51,False,2026-03-11 17:39:55
4ba893,THY6445,Turkey,46.1039,24.4103,11277.6,233.59,144.14,False,2026-03-11 17:39:55
aa0559,CKS9706,United States,44.0433,23.3361,11277.6,252.39,116.25,False,2026-03-11 17:39:55
44068e,LDX10C,Austria,43.0125,23.4217,6324.6,156.72,345.55,False,2026-03-11 17:39:55
48c2ac,RYR75BM,Poland,44.7768,23.4605,10119.36,227.4,90.65,False,2026-03-11 17:39:55
4cac24,RYR75JD,Ireland,50.1116,22.0206,,12.35,92.81,True,2026-03-11 17:39:55
4a34e9,ROF9143,Romania,44.5638,26.0644,60.96,54.77,84.61,False,2026-03-11 17:39:55
4a3605,RO202,Romania,44.4346,25.8835,243.84,62.49,247.23,False,2026-03-11 17:39:55
504e86,FIA5547,Republic of Moldova,47.5796,24.0207,10965.18,225.5,281.85,False,2026-03-11 17:39:55
504e87,FIA5738,Republic of Moldova,47.7032,23.3859,10668.0,225.61,101.98,False,2026-03-11 17:39:55
407d74,BAW679,United Kingdom,43.5512,25.7317,10972.8,240.53,318.47,False,2026-03-11 17:39:55
885177,THA916,Thailand,45.4341,23.8612,10972.8,242.0,294.22,False,2026-03-11 17:39:55
