icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
86ced2,ANA814,Japan,21.737,116.4851,11071.86,285.01,90.52,False,2026-03-11 17:39:55
78203b,CDG2168,China,25.2663,118.5549,5745.48,202.68,215.18,False,2026-03-11 17:39:55
758584,APG128,Philippines,24.9656,121.0795,944.88,93.35,49.02,False,2026-03-11 17:39:55
7584be,RYL287,Philippines,21.4401,115.093,10043.16,249.39,128.38,False,2026-03-11 17:39:55
7c1469,QFA7526,Australia,21.246,115.1418,8138.16,248.4,163.52,False,2026-03-11 17:39:55
780a28,CPA3290,China,22.4799,118.3548,9448.8,308.18,58.72,False,2026-03-11 17:39:55
84ceef,JJP11,Japan,25.6122,122.0635,6096.0,173.44,240.7,False,2026-03-11 17:39:55
a80a8f,UPS72,United States,24.9367,122.0512,12192.0,232.67,182.03,False,2026-03-11 17:39:55
846333,NCA203,Japan,25.5767,122.0285,11894.82,195.52,229.27,False,2026-03-11 17:39:55
888194,HVN440,Viet Nam,21.1513,117.4684,10058.4,279.79,66.83,False,2026-03-11 17:39:55
885962,TVJ3537,Thailand,22.8235,115.129,9784.08,206.05,263.55,False,2026-03-11 17:39:55
84b42f,APJ723,Japan,25.2463,121.3116,2324.1,153.96,235.62,False,2026-03-11 17:39:55
7501fa,XAX379,Malaysia,24.9908,120.893,3634.74,182.73,233.36,False,2026-03-11 17:39:55
8880dc,VJC976,Viet Nam,21.5105,118.8085,10073.64,284.73,47.49,False,2026-03-11 17:39:55
76cd47,SIA38,Singapore,20.9705,122.5086,10972.8,294.68,44.15,False,2026-03-11 17:39:55
899080,,Taiwan,22.4871,118.6182,9144.0,218.53,218.6,False,2026-03-11 17:39:55
4d0106,CLX9363,Luxembourg,22.3626,117.3617,8534.4,227.77,282.66,False,2026-03-11 17:39:55
899059,TTW216,Taiwan,25.8653,122.7992,8610.6,276.26,53.56,False,2026-03-11 17:39:55
89901e,CAL032,Taiwan,25.2963,121.5659,2971.8,169.13,77.53,False,2026-03-11 17:39:55
899038,EVA010,Taiwan,25.354,121.8558,4244.34,212.18,78.39,False,2026-03-11 17:39:55
750403,MXD822,Malaysia,21.7495,121.0369,10668.0,263.73,19.25,False,2026-03-11 17:39:55
71c003,KAL677,Republic of Korea,23.1912,121.6519,11582.4,203.46,196.6,False,2026-03-11 17:39:55
899160,CAL061,Taiwan,21.2265,117.4449,9753.6,218.93,240.12,False,2026-03-11 17:39:55
89913e,EVA065,Taiwan,23.0668,119.0195,10355.58,205.37,216.96,False,2026-03-11 17:39:55
71c063,JJA2217,Republic of Korea,21.164,117.283,10363.2,199.62,269.26,False,2026-03-11 17:39:55
71c025,KAL647,Republic of Korea,24.6373,122.167,11582.4,205.44,203.93,False,2026-03-11 17:39:55
899125,CAL063,Taiwan,21.9078,117.9279,10363.2,218.46,208.56,False,2026-03-11 17:39:55
899136,EVA095,Taiwan,21.1522,116.4473,10363.2,221.76,268.94,False,2026-03-11 17:39:55
76bd42,TGW875,Singapore,23.9387,120.4049,9875.52,221.16,189.51,False,2026-03-11 17:39:55
76bd49,TGW893,Singapore,21.3411,119.9315,12192.0,226.55,188.09,False,2026-03-11 17:39:55
8990c0,SJX012,Taiwan,25.3698,121.9497,4526.28,208.65,78.19,False,2026-03-11 17:39:55
71c282,AAR747,Republic of Korea,21.8412,120.4465,11582.4,196.04,256.8,False,2026-03-11 17:39:55
861b03,ANA8507,Japan,21.9816,120.8723,10972.8,203.61,206.57,False,2026-03-11 17:39:55
88628e,TAX607,Thailand,21.1701,117.5016,11582.4,203.64,262.01,False,2026-03-11 17:39:55
789251,AHK783,China,22.3658,115.6458,7200.9,205.14,253.84,False,2026-03-11 17:39:55
789296,HKE624,China,22.1968,117.8614,10668.0,286.48,58.74,False,2026-03-11 17:39:55
78929b,CRK080,China,24.249,120.848,10058.4,290.68,44.21,False,2026-03-11 17:39:55
71bf20,KAL2093,Republic of Korea,21.1164,117.0622,11582.4,202.01,244.02,False,2026-03-11 17:39:55
