icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
471efb,WZZ44ZL,Hungary,35.4868,31.3782,10347.96,222.41,287.64,False,2026-03-11 17:43:52
adfece,DUKE63,United States,41.0587,30.1823,8534.4,141.99,325.33,False,2026-03-11 17:43:52
a5d1c9,CADDY01,United States,28.4799,33.7427,11582.4,194.92,309.11,False,2026-03-11 17:43:52
39d319,TVF38LX,France,40.439,42.051,10736.58,230.24,283.04,False,2026-03-11 17:43:52
3c4ada,DLH760,Germany,40.7819,48.5207,11887.2,261.94,95.3,False,2026-03-11 17:43:52
4bc842,PGT14G,Turkey,40.2872,30.7826,6835.14,228.72,276.2,False,2026-03-11 17:43:52
738058,ELY1512,Israel,35.6889,31.1534,11277.6,232.12,143.56,False,2026-03-11 17:43:52
500205,MEA218,San Marino,37.6064,31.6433,10668.0,225.65,118.9,False,2026-03-11 17:43:52
8960f1,UAE71J,United Arab Emirates,23.5795,55.3384,10195.56,290.02,43.49,False,2026-03-11 17:43:52
5001d4,MEA202,San Marino,35.6197,34.2336,7612.38,229.74,149.3,False,2026-03-11 17:43:52
151da3,AFL401,Russian Federation,40.025,37.394,10134.6,225.49,62.56,False,2026-03-11 17:43:52
896197,UAE2MJ,United Arab Emirates,29.4908,32.2991,11582.4,215.49,308.02,False,2026-03-11 17:43:52
89618a,UAE6FJ,United Arab Emirates,35.9574,30.8568,11887.2,252.48,161.71,False,2026-03-11 17:43:52
896181,UAE29V,United Arab Emirates,33.7652,30.4884,12192.0,232.85,329.75,False,2026-03-11 17:43:52
471dbe,WZZ37,Hungary,35.2666,31.8165,6278.88,211.84,136.97,False,2026-03-11 17:43:52
151e25,TYA6102,Russian Federation,34.5315,30.8881,9753.6,220.89,357.6,False,2026-03-11 17:43:52
151d6f,AZV948,Russian Federation,32.456,31.2682,10363.2,15.85,256.87,False,2026-03-11 17:43:52
151d94,AFL420,Russian Federation,37.8498,31.382,11277.6,225.05,205.45,False,2026-03-11 17:43:52
151d95,AFL423,Russian Federation,39.9137,37.1823,10668.0,227.8,60.66,False,2026-03-11 17:43:52
89620e,UAE2W,United Arab Emirates,23.3091,49.3653,10668.0,309.22,98.8,False,2026-03-11 17:43:52
7380c6,ELY094,Israel,33.04,30.9619,10972.8,249.58,1.42,False,2026-03-11 17:43:52
4bb27a,THY38Y,Turkey,34.9018,30.8734,10058.4,222.34,178.28,False,2026-03-11 17:43:52
738286,ISR893,Israel,41.7626,44.8327,1143.0,89.51,136.4,False,2026-03-11 17:43:52
4bb283,THY3PC,Turkey,34.3519,30.8975,10058.4,231.13,177.96,False,2026-03-11 17:43:52
70c107,OMA2408,Oman,23.1712,49.2447,12496.8,281.75,104.59,False,2026-03-11 17:43:52
70c108,OMA2162,Oman,29.2536,32.0986,11887.2,257.54,143.61,False,2026-03-11 17:43:52
8005f2,AIC157,India,30.1687,31.3065,10355.58,214.75,316.94,False,2026-03-11 17:43:52
896366,ABY842,United Arab Emirates,25.6853,56.1047,8702.04,0.0,0.0,False,2026-03-11 17:43:52
4d03c6,NATO41,Luxembourg,39.1504,30.4957,9166.86,221.56,333.08,False,2026-03-11 17:43:52
486840,TRA9L,Kingdom of the Netherlands,41.8949,44.5283,2743.2,136.8,94.75,False,2026-03-11 17:43:52
4bb0e1,THY208,Turkey,40.7409,46.5426,11277.6,251.82,92.58,False,2026-03-11 17:43:52
70c0e1,OMA406,Oman,28.7575,32.5708,11224.26,243.47,145.07,False,2026-03-11 17:43:52
4baa45,THY5198,Turkey,34.6697,30.8841,9448.8,223.38,178.15,False,2026-03-11 17:43:52
8963f0,UAE6AQ,United Arab Emirates,25.2296,55.3906,53.34,76.4,301.23,False,2026-03-11 17:43:52
4baa0b,THY2JP,Turkey,40.8756,47.2054,10050.78,214.9,95.22,False,2026-03-11 17:43:52
4bb104,THY5FW,Turkey,40.0957,31.8578,12496.8,245.46,132.28,False,2026-03-11 17:43:52
8963d8,UAE143,United Arab Emirates,29.4003,32.4312,10363.2,211.48,307.99,False,2026-03-11 17:43:52
4baa99,TKJ61K,Turkey,40.5947,32.3029,10675.62,229.23,76.9,False,2026-03-11 17:43:52
4bb182,THY196,Turkey,40.9483,46.6407,11277.6,246.53,109.76,False,2026-03-11 17:43:52
4a1923,UZS3303,Romania,41.3912,46.2935,7665.72,206.92,285.28,False,2026-03-11 17:43:52
8963b1,FDB143,United Arab Emirates,24.4659,52.5378,9753.6,68.57,332.28,False,2026-03-11 17:43:52
4bb166,THY5186,Turkey,35.3085,30.8571,10668.0,238.86,177.9,False,2026-03-11 17:43:52
896504,ABY330,United Arab Emirates,26.0957,53.57,10363.2,0.0,0.0,False,2026-03-11 17:43:52
4bb18b,THY2YJ,Turkey,37.6667,30.3325,11269.98,239.94,166.23,False,2026-03-11 17:43:52
68332b,VSV5300,Kazakhstan,23.2581,49.4541,10668.0,288.46,106.37,False,2026-03-11 17:43:52
896461,ETD81C,United Arab Emirates,23.1221,53.7489,11551.92,293.28,74.74,False,2026-03-11 17:43:52
738444,AIZ744,Israel,34.2236,31.0383,1417.32,254.22,122.02,False,2026-03-11 17:43:52
4b8750,PGT6BQ,Turkey,36.8207,31.0316,4419.6,170.73,344.62,False,2026-03-11 17:43:52
888138,HVN18,Viet Nam,40.7901,46.4313,10668.0,246.44,89.28,False,2026-03-11 17:43:52
48af0f,LOT9314,Poland,29.3928,33.4243,10363.2,187.58,287.89,False,2026-03-11 17:43:52
740823,RJA614,Jordan,23.3345,49.4488,12496.8,301.86,92.93,False,2026-03-11 17:43:52
4b9910,FHY4916,Turkey,36.7909,30.9305,2072.64,142.58,110.27,False,2026-03-11 17:43:52
4b9907,FHY9401,Turkey,33.5812,30.9301,10660.38,222.39,177.88,False,2026-03-11 17:43:52
50848a,SQY7506,Ukraine,29.4256,32.5114,9745.98,195.33,318.42,False,2026-03-11 17:43:52
8880e0,HVN36,Viet Nam,40.7743,45.8311,11269.98,248.03,88.69,False,2026-03-11 17:43:52
7502cd,XAX605,Malaysia,41.363,44.8536,10668.0,232.57,91.01,False,2026-03-11 17:43:52
507c72,QNT6622,Uzbekistan,36.238,30.8183,9738.36,225.4,358.56,False,2026-03-11 17:43:52
5140d1,IGT1183,Georgia,41.0747,46.523,10652.76,227.95,98.7,False,2026-03-11 17:43:52
76cdae,SIA329,Singapore,40.731,46.8777,11277.6,252.46,93.15,False,2026-03-11 17:43:52
742ac2,FAD9311,Jordan,39.9558,40.576,10972.8,244.88,269.52,False,2026-03-11 17:43:52
717c83,SVA261,Saudi Arabia,30.4866,31.5608,10355.58,210.51,350.86,False,2026-03-11 17:43:52
78161d,CSN8066,China,39.9871,37.3555,11277.6,491.61,74.09,False,2026-03-11 17:43:52
407794,EZY63MH,United Kingdom,34.6399,32.6972,998.22,101.39,330.18,False,2026-03-11 17:43:52
010261,RMX7702,Egypt,24.4679,52.5363,10363.2,110.0,332.12,False,2026-03-11 17:43:52
010256,LMU647,Egypt,40.6087,38.2222,10675.62,124.17,73.14,False,2026-03-11 17:43:52
010249,SVI3651,Egypt,29.3404,31.1447,9448.8,535.54,190.96,False,2026-03-11 17:43:52
010290,NMA640,Egypt,29.7396,34.1527,9273.54,214.25,332.08,False,2026-03-11 17:43:52
0101fa,RBG521,Egypt,29.8056,32.3272,11277.6,245.56,123.29,False,2026-03-11 17:43:52
4ba9d0,THY727,Turkey,39.9043,30.9703,251.46,55.41,347.12,False,2026-03-11 17:43:52
4ba8e3,TKJ41V,Turkey,35.9564,32.7463,6812.28,203.61,130.49,False,2026-03-11 17:43:52
4ba8da,TKJ2WZ,Turkey,35.135,33.5568,198.12,75.76,291.51,False,2026-03-11 17:43:52
3b7569,FAF4072,France,24.4895,52.5222,9738.36,95.95,193.96,False,2026-03-11 17:43:52
4ba996,THY6JG,Turkey,38.4899,30.1766,10058.4,223.66,112.73,False,2026-03-11 17:43:52
514005,,Georgia,41.5792,40.2867,-304.8,0.0,0.0,True,2026-03-11 17:43:52
4cadc8,ITY770,Ireland,40.984,46.5985,11277.6,241.62,96.11,False,2026-03-11 17:43:52
4bd183,TWI011,Turkey,36.8015,31.9869,8785.86,225.79,86.34,False,2026-03-11 17:43:52
86d244,ANA220,Japan,40.0418,37.2486,11269.98,252.38,63.23,False,2026-03-11 17:43:52
4b9ec2,TCGVB,Turkey,36.395,30.8154,12192.0,222.33,358.41,False,2026-03-11 17:43:52
503d79,AHY8106,Lithuania,40.9186,47.265,8168.64,587.05,109.45,False,2026-03-11 17:43:52
155c34,RWZ4533,Russian Federation,38.3154,31.6921,10668.0,225.24,206.16,False,2026-03-11 17:43:52
151fea,AFL2133,Russian Federation,41.9998,30.5357,7879.08,226.46,95.74,False,2026-03-11 17:43:52
7c8066,QFA10,Australia,41.0287,46.691,10668.0,245.22,97.11,False,2026-03-11 17:43:52
4b9e41,STW323,Turkey,39.8507,37.0341,11277.6,238.45,60.39,False,2026-03-11 17:43:52
800c88,AIC2245,India,24.4674,52.5335,9136.38,56.0,110.43,False,2026-03-11 17:43:52
4bda8e,TCVTN,Turkey,34.0128,30.9127,12496.8,245.01,178.07,False,2026-03-11 17:43:52
710053,SVA810,Saudi Arabia,23.4011,49.4196,10058.4,291.89,107.54,False,2026-03-11 17:43:52
51009c,BRU8216,Belarus,36.5056,32.1165,10363.2,235.31,68.99,False,2026-03-11 17:43:52
710149,,Saudi Arabia,26.4593,49.1749,6377.94,199.41,276.67,False,2026-03-11 17:43:52
710139,SVA278,Saudi Arabia,34.3468,30.8984,9441.18,237.3,178.01,False,2026-03-11 17:43:52
46a5e4,SEH3LC,Greece,35.2769,31.3233,11460.48,246.11,119.83,False,2026-03-11 17:43:52
4bb875,PGT327,Turkey,40.9319,41.8047,10972.8,236.05,275.13,False,2026-03-11 17:43:52
46b8aa,AEE913,Greece,35.6487,30.7442,11574.78,217.56,287.19,False,2026-03-11 17:43:52
4b194b,SWR9EX,Switzerland,31.094,30.2731,11186.16,194.37,299.14,False,2026-03-11 17:43:52
3c66c2,DLH766,Germany,23.2848,49.2319,11277.6,309.86,106.0,False,2026-03-11 17:43:52
3c66c1,DLH764,Germany,23.1555,49.0127,11887.2,304.95,103.66,False,2026-03-11 17:43:52
885108,THA955,Thailand,41.2504,45.5249,11277.6,247.13,109.08,False,2026-03-11 17:43:52
88517a,THA951,Thailand,41.2886,45.3578,10058.4,240.62,109.09,False,2026-03-11 17:43:52
7114d9,KNE700,Saudi Arabia,36.3028,34.1407,10066.02,220.11,194.62,False,2026-03-11 17:43:52
4b1904,SWR188,Switzerland,40.7279,48.3649,10668.0,233.34,99.77,False,2026-03-11 17:43:52
