icao24,callsign,origin_country,latitude,longitude,altitude,velocity,heading,on_ground,timestamp
80162c,AXB2549,India,13.2078,77.6075,1310.64,73.57,90.4,False,2026-03-11 17:43:55
801642,AXB2781,India,13.3927,78.0008,3672.84,146.73,42.58,False,2026-03-11 17:43:55
80162e,AIC2895,India,28.4655,77.0125,1310.64,139.25,193.68,False,2026-03-11 17:43:55
880456,AIQ170,Thailand,11.5963,78.8952,10972.8,234.21,256.67,False,2026-03-11 17:43:55
801657,AIC1830,India,26.2774,77.2088,10767.06,221.47,357.2,False,2026-03-11 17:43:55
801623,AXB1240,India,11.7029,77.3959,7315.2,212.37,207.25,False,2026-03-11 17:43:55
80160f,IGO681,India,25.5166,75.2903,10363.2,227.72,200.36,False,2026-03-11 17:43:55
80161e,AKJ1804,India,28.5685,77.1085,,9.26,92.81,True,2026-03-11 17:43:55
80167d,AXB398,India,11.9945,75.6234,6728.46,218.03,159.13,False,2026-03-11 17:43:55
80167e,AIC1724,India,10.1537,76.468,320.04,67.44,267.81,False,2026-03-11 17:43:55
80167b,AIC2827,India,14.2661,78.2498,10668.0,238.14,123.28,False,2026-03-11 17:43:55
80167c,AXB2430,India,17.1743,81.8918,11582.4,217.46,236.87,False,2026-03-11 17:43:55
801697,AXB1264,India,28.2469,76.1079,5311.14,178.77,63.88,False,2026-03-11 17:43:55
801694,O9321,India,8.9804,77.298,11277.6,239.59,38.2,False,2026-03-11 17:43:55
80164e,AIC2710,India,22.6421,88.4413,,0.0,2.81,True,2026-03-11 17:43:55
80164f,AIC2818,India,26.1052,77.2169,11582.4,220.3,358.13,False,2026-03-11 17:43:55
47b217,NBT091,Norway,21.3198,88.7401,11879.58,275.22,132.73,False,2026-03-11 17:43:55
801661,IGO853,India,17.2664,72.7205,9753.6,226.45,332.1,False,2026-03-11 17:43:55
80165a,AIC488,India,28.5596,77.089,,0.0,278.44,True,2026-03-11 17:43:55
801674,AIC2814,India,13.2409,77.9197,3451.86,150.25,1.18,False,2026-03-11 17:43:55
801672,AIC2401,India,15.3375,75.8962,11277.6,235.08,136.6,False,2026-03-11 17:43:55
80169d,,India,16.8946,84.0922,10058.4,243.6,39.0,False,2026-03-11 17:43:55
800da0,,India,20.4735,73.5845,9989.82,236.14,185.38,False,2026-03-11 17:43:55
800db0,AIC1865,India,27.8973,77.2785,3086.1,144.52,347.25,False,2026-03-11 17:43:55
8014dd,,India,16.78,75.2372,10972.8,228.67,308.06,False,2026-03-11 17:43:55
8014da,AIC2940,India,28.4481,77.0677,3345.18,136.13,103.77,False,2026-03-11 17:43:55
8014de,IGO705Y,India,19.9921,74.9724,10668.0,240.74,21.3,False,2026-03-11 17:43:55
8014f7,IGO1701,India,27.7027,78.6519,8900.16,257.8,114.78,False,2026-03-11 17:43:55
8014ed,AIC2708,India,24.9662,83.7114,10980.42,204.66,307.65,False,2026-03-11 17:43:55
8014c1,IGO6041,India,23.637,86.6886,10287.0,237.82,170.54,False,2026-03-11 17:43:55
8014d6,IGO1641,India,22.0302,88.7133,5311.14,206.17,157.4,False,2026-03-11 17:43:55
801606,AXB1163,India,18.0999,72.9756,6637.02,209.54,161.83,False,2026-03-11 17:43:55
801603,AIC2643,India,19.0887,72.8629,7.62,84.38,269.3,False,2026-03-11 17:43:55
801608,IGO524H,India,12.5167,77.7134,6667.5,213.34,195.81,False,2026-03-11 17:43:55
80174a,IGO1014,India,25.8367,81.3249,10972.8,198.06,337.23,False,2026-03-11 17:43:55
80174d,IGO738,India,13.2077,77.6187,1257.3,67.91,90.43,False,2026-03-11 17:43:55
80175a,IGO604M,India,19.7696,72.7915,6240.78,209.02,8.35,False,2026-03-11 17:43:55
801768,IGO76JM,India,28.5656,77.1165,,1.29,191.25,True,2026-03-11 17:43:55
