event_name,event_time,event_goldstein,event_lat,event_lon,snapshots_before,snapshots_after,avg_traffic_before,avg_traffic_after,traffic_delta_pct,avg_altitude_before,avg_altitude_after,altitude_delta_pct,correlation_signal,signal_label
"☢️  Guerre — Isfahan, Esfahan, Iran",2026-03-04 16:30:00,-10.0,32.6597,51.6714,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,1.0,🔴 SIGNAL FORT
☢️  Guerre — United Arab Emirates,2026-03-04 16:15:00,-10.0,24.0,54.0,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,1.0,🔴 SIGNAL FORT
"☢️  Guerre — Elon, Ha?afon, Israel",2026-03-04 16:15:00,-10.0,33.0637,35.2201,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,1.0,🔴 SIGNAL FORT
"☢️  Guerre — Gaza City, Israel (general), Israel",2026-03-04 16:15:00,-10.0,31.4167,34.3333,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,1.0,🔴 SIGNAL FORT
"☢️  Guerre — Anadolu, Turkey (general), Turkey",2026-03-04 16:30:00,-10.0,39.0,35.0,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,1.0,🔴 SIGNAL FORT
"☢️  Guerre — Yerevan, Yerevan*, Armenia",2026-03-04 16:30:00,-9.5,40.1811,44.5136,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.99,🔴 SIGNAL FORT
"☢️  Guerre — Gondar, Amara, Ethiopia",2026-03-04 16:15:00,-9.5,12.6,37.4667,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,0.99,🔴 SIGNAL FORT
"💣 Protestation — Delgi, Amara, Ethiopia",2026-03-04 16:15:00,-7.5,12.2,37.05,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,0.95,🔴 SIGNAL FORT
"⚔️  Conflit armé — Baghdad, Baghdad, Iraq",2026-03-04 16:15:00,-7.2,33.3386,44.3939,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,0.944,🔴 SIGNAL FORT
"🔒 Coercition — Dubai, Dubayy, United Arab Emirates",2026-03-04 16:30:00,-5.0,25.2522,55.28,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.9,🔴 SIGNAL FORT
"🔒 Coercition — At Tiri, Nabatî, Lebanon",2026-03-04 16:30:00,-5.0,33.1406,35.4028,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.9,🔴 SIGNAL FORT
Événement 100 — Oman,2026-03-04 16:30:00,-5.0,21.0,57.0,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.9,🔴 SIGNAL FORT
"🚫 Menace / ultimatum — Hatay, Hatay, Turkey",2026-03-04 16:15:00,-4.4,36.2066,36.1572,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,0.888,🔴 SIGNAL FORT
"💥 Attaque — Ismailiyah, Al Ismailiyah, Egypt",2026-03-04 16:30:00,-4.0,30.6043,32.2723,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.88,🔴 SIGNAL FORT
"💥 Attaque — Tel Aviv, Tel Aviv, Israel",2026-03-04 16:30:00,-4.0,32.0667,34.7667,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.88,🔴 SIGNAL FORT
"💥 Attaque — Doha, Ad Daw?ah, Qatar",2026-03-04 16:30:00,-4.0,25.2867,51.5333,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.88,🔴 SIGNAL FORT
Événement 120 — Qatar,2026-03-04 16:30:00,-4.0,25.5,51.25,5,5,1009.8,199.2,-80.27332144979204,6060.965964117406,8715.983395267791,43.80518628332221,0.88,🔴 SIGNAL FORT
💥 Attaque — Iraq,2026-03-04 16:15:00,-4.0,33.0,44.0,3,7,1009.0,431.14285714285717,-57.2702817499646,6073.919381812615,7951.855521641163,30.918028735312642,0.88,🔴 SIGNAL FORT
