region_code,total_aircraft,in_flight,on_ground,altitude_mean,velocity_mean,unique_countries,timestamp
NA,6873,6316,557,5962.0,141.0,31,2026-03-11T16:44:45.531857
EU_W,1902,1729,173,7012.0,157.0,63,2026-03-11T16:44:45.530413
AF,245,242,3,9027.0,205.0,46,2026-03-11T16:44:45.532302
AS_S,221,196,25,7686.0,177.0,27,2026-03-11T16:44:45.531252
SA,167,159,8,6803.0,167.0,18,2026-03-11T16:44:45.532073
AS_E,139,125,14,7993.0,188.0,21,2026-03-11T16:44:45.531394
ME,99,98,1,9477.0,218.0,35,2026-03-11T16:44:45.531055
EU_E,89,81,8,7805.0,156.0,27,2026-03-11T16:44:45.530707
UKR,45,44,1,9979.0,214.0,17,2026-03-11T16:44:45.532476
TWN,37,37,0,8874.0,218.0,11,2026-03-11T16:44:45.532624
PG,17,17,0,9752.0,192.0,9,2026-03-11T16:44:45.532757
RU,15,15,0,10912.0,206.0,3,2026-03-11T16:44:45.530882
